ID,Ball
20406,"{19973, 19974, 18960, 18963, 18463, 18465, 18468, 20005, 22567, 19506, 20020, 22580, 20024, 22908, 20028, 19005, 20029, 20543, 22909, 20562, 22913, 18516, 19029, 21594, 20059, 19555, 20069, 20587, 18540, 19055, 19056, 18545, 19057, 19058, 20079, 20602, 19073, 20106, 20107, 22666, 19597, 22669, 22670, 18579, 18580, 18581, 18582, 20116, 21674, 20692, 22701, 19633, 18103, 18623, 21700, 22726, 22730, 19660, 19661, 22734, 18127, 18128, 19663, 19664, 19665, 19666, 19667, 19668, 19669, 19670, 19671, 19672, 19673, 19674, 19675, 19676, 22749, 18658, 18661, 18662, 18668, 22766, 18160, 22777, 22790, 18183, 22791, 21257, 22794, 22796, 18711, 18204, 18717, 18718, 18720, 18721, 21288, 21289, 18222, 21297, 21298, 18236, 22847, 22848, 21826, 21318, 21324, 21325, 21326, 22867, 22868, 19797, 22869, 22870, 21848, 20314, 20315, 21341, 20318, 21342, 21343, 22881, 22882, 21859, 22885, 22886, 22888, 22889, 22892, 22897, 22898, 22900, 21366, 22903, 21880, 22905, 18299, 21884, 21885, 18814, 18815, 18816, 18305, 18817, 18819, 18820, 18309, 22401, 22911, 22408, 22912, 22410, 22411, 19852, 22916, 18830, 22918, 22924, 22925, 22932, 22934, 22941, 18849, 21418, 18347, 21419, 20401, 18354, 18355, 18356, 20402, 20403, 20404, 20406, 21426, 20924, 19906, 19907, 19908, 19909, 19911, 19914, 19915, 19917, 21460, 21461, 21464, 20445, 18400, 19936, 20450, 19940, 18408, 18920, 18922, 20458, 22508, 20462, 20463, 20464, 20466, 19958, 20472}"
7730,"{8705, 3588, 3589, 8711, 4623, 4625, 4626, 4627, 8212, 8213, 5654, 8214, 5668, 6694, 6698, 3115, 5165, 3631, 3632, 3633, 5681, 7730, 8755, 3128, 6714, 8250, 6210, 6744, 5210, 6746, 4705, 8289, 9323, 4716, 9325, 9326, 8820, 9332, 8333, 8334, 9360, 6801, 5786, 3750, 5291, 4786, 5298, 5299, 6837, 9395, 3768, 7873, 6850, 3783, 3784, 7881, 5322, 6354, 3797, 5853, 7390, 6370, 9445, 6888, 9458, 6387, 8443, 8958, 6913, 8450, 8701, 6918, 5392, 5393, 3349, 4376, 4890, 4891, 6945, 9508, 9509, 2866, 2868, 9528, 3388, 6972, 7489, 4418, 4420, 4421, 5450, 6993, 4440, 7519, 4448, 9058, 2919, 4967, 4460, 3440, 7541, 9598, 7551, 5506, 5507, 9603, 8077, 2958, 6542, 8078, 9107, 9619, 7577, 5018, 7579, 9117, 7582, 7587, 9638, 4011, 5035, 4018, 6070, 6071, 7098, 9658, 7107, 9673, 4557, 9680, 4563, 4052, 4053, 3030, 6102, 4568, 9683, 9690, 7133, 3550, 7648, 9698, 8163, 8168, 8681, 8172, 7149, 9197, 8189, 9215}"
22883,"{19457, 18948, 19972, 20484, 19975, 19976, 20494, 20504, 19993, 18460, 20508, 22047, 18464, 18469, 22566, 21543, 20520, 22571, 22060, 22572, 20014, 20527, 22573, 19510, 19000, 19001, 20026, 22586, 19006, 20032, 22608, 20561, 20057, 20058, 18524, 21086, 19040, 20576, 20584, 21610, 20588, 18541, 21697, 18551, 19065, 20601, 20101, 21128, 20110, 19089, 18578, 20114, 21653, 21142, 22681, 21659, 20124, 22683, 22725, 18597, 18600, 21676, 21677, 18610, 18101, 18102, 21687, 19640, 21690, 18107, 19643, 19647, 19648, 19649, 19650, 19651, 19652, 19653, 19654, 19655, 19656, 19657, 19658, 19659, 22724, 21709, 19662, 22729, 22731, 22738, 22743, 18657, 18678, 18679, 18680, 18175, 21250, 21251, 18180, 18182, 21256, 18704, 22804, 19733, 22809, 22812, 21281, 18727, 21287, 18219, 22316, 19760, 18737, 19762, 22832, 18228, 18740, 21300, 22833, 21824, 21314, 21315, 21317, 18762, 22862, 18255, 21328, 21843, 21844, 22355, 20310, 22357, 20312, 20313, 22871, 22365, 22878, 21858, 22883, 21356, 22893, 18286, 19825, 18290, 18291, 21875, 21876, 18808, 18811, 20863, 21376, 18306, 18307, 18818, 21380, 22402, 22917, 18312, 22409, 18826, 22920, 18828, 20370, 22930, 21396, 18338, 18852, 21414, 22443, 18351, 20399, 18865, 20400, 20405, 20410, 19899, 19902, 20926, 19904, 18369, 22462, 19399, 21962, 21454, 19924, 18904, 22488, 21466, 20446, 21482, 18924, 20460, 20461, 19951, 18421, 20469}"
20338,"{20482, 20488, 20493, 18959, 20495, 20497, 22543, 20501, 22549, 20000, 22051, 21542, 20521, 18990, 20015, 22574, 22577, 22596, 22597, 18515, 19041, 20577, 20590, 20592, 18547, 20596, 20597, 20087, 20091, 18571, 20113, 20119, 20638, 20129, 21166, 21685, 21686, 18617, 19644, 19645, 22727, 18121, 22737, 18137, 22747, 22748, 22750, 22751, 22754, 18665, 18666, 22764, 18673, 18164, 19707, 18684, 19712, 18177, 19713, 19716, 19717, 21254, 22792, 18186, 21260, 18189, 18190, 22798, 18200, 19750, 18216, 18218, 18731, 19754, 18221, 18226, 22837, 22838, 18750, 22851, 19781, 18758, 18759, 21319, 21831, 21834, 18258, 21846, 20316, 20317, 22366, 18783, 21856, 22884, 21861, 20329, 21357, 20335, 20338, 18804, 21364, 22901, 18813, 21378, 22915, 22404, 21381, 22405, 18825, 18831, 21403, 22436, 18341, 18855, 18861, 18866, 18358, 22457, 21435, 19900, 19901, 21950, 22463, 22464, 18372, 18884, 21444, 21958, 18896, 20441, 20444, 18399, 19939, 20459, 18925, 19950, 21485, 19952, 19953, 18422}"
8549,"{3073, 5127, 9224, 9225, 5657, 6209, 9287, 9290, 4685, 3152, 3153, 8276, 8788, 8789, 9303, 9306, 4699, 5211, 4191, 3687, 7785, 4213, 5257, 4243, 5275, 5276, 5277, 5278, 9372, 6818, 6819, 6821, 6823, 5801, 6314, 4797, 7365, 8401, 9426, 4311, 3805, 9437, 3308, 4850, 8439, 8440, 3321, 9471, 6403, 4879, 3347, 4893, 4894, 3871, 6947, 9001, 9003, 7468, 7469, 3903, 2879, 4941, 9051, 4963, 8548, 8549, 7526, 8041, 6511, 6514, 6515, 8050, 7542, 7543, 8568, 7544, 9593, 8572, 8063, 4484, 8581, 8585, 8591, 2960, 3472, 9105, 9620, 3992, 9114, 7580, 7069, 7070, 9636, 7079, 9640, 9136, 9650, 9139, 9656, 5561, 5565, 9662, 9666, 5573, 9672, 4041, 9691, 9185, 6117, 9191, 5615, 8181}"
19682,"{20490, 18955, 18957, 19469, 18450, 18451, 20498, 19994, 18462, 22560, 22561, 18466, 18467, 20515, 22564, 22570, 20022, 20027, 20539, 20541, 20542, 20041, 22602, 20046, 19023, 20047, 18519, 20055, 20594, 20086, 20108, 20122, 20132, 21675, 18098, 19636, 19637, 19638, 19639, 18104, 18106, 21707, 21711, 19677, 19679, 18656, 19680, 19681, 18659, 18660, 19682, 19683, 19684, 19685, 19686, 19687, 19688, 21748, 18176, 18179, 18181, 18184, 18185, 21258, 21259, 18703, 21269, 18205, 18719, 18722, 21286, 22312, 18217, 18741, 18232, 18233, 18234, 18235, 22843, 18237, 21821, 21822, 21829, 18761, 21323, 18764, 18770, 20309, 21334, 22363, 21340, 21854, 18271, 20319, 20320, 20321, 21345, 18277, 18799, 21872, 18801, 18802, 18803, 20337, 22403, 18310, 18822, 18823, 22407, 18827, 20371, 18332, 22940, 18848, 18850, 18851, 21413, 18854, 18349, 21421, 20407, 21436, 21438, 19903, 19905, 19910, 18379, 19916, 20442, 19937, 19941, 21484, 18928, 18930, 20467, 20470, 19963}"
20465,"{19968, 20480, 22022, 22024, 22025, 22028, 22544, 22546, 18967, 18972, 22046, 22049, 22568, 21547, 18478, 22575, 18486, 21559, 22595, 21067, 21075, 21076, 20585, 20609, 20610, 21635, 20103, 20109, 20622, 21645, 22672, 22673, 21650, 21652, 21654, 20639, 21671, 21673, 21681, 21683, 19642, 21715, 21718, 18138, 21723, 18142, 18143, 18144, 22752, 22763, 19693, 18158, 18162, 18677, 19702, 19726, 18709, 19746, 18723, 21836, 21337, 22873, 18267, 21339, 22364, 21346, 21349, 21350, 20327, 21352, 20330, 20334, 21874, 18292, 18298, 21883, 18304, 18324, 18840, 18841, 18328, 18845, 22435, 22438, 21417, 19882, 21422, 21423, 21429, 21431, 22455, 22456, 19386, 21946, 21948, 21952, 21953, 21442, 22485, 22486, 19927, 20439, 22489, 19933, 20465, 20475}"
19844,"{19977, 22027, 22558, 22559, 22562, 22563, 18985, 22058, 20525, 22062, 21552, 19007, 19008, 18497, 19011, 20551, 20040, 20555, 21068, 19022, 21080, 22616, 20060, 19556, 20075, 18546, 19060, 22645, 20607, 20095, 18561, 21639, 21131, 19084, 21646, 21648, 20117, 18583, 18584, 21665, 18108, 18626, 22732, 21720, 21721, 18151, 20711, 19696, 19699, 19705, 18683, 19710, 19718, 19721, 19724, 18195, 18196, 22811, 18206, 22307, 18223, 18224, 18229, 18742, 18751, 21830, 21833, 18250, 21837, 21840, 21841, 21845, 22360, 22875, 18268, 19813, 21863, 21864, 21358, 18288, 21362, 21363, 19830, 21878, 18297, 20346, 18812, 21372, 20353, 20354, 20355, 18308, 19844, 19845, 18824, 18313, 18317, 20881, 18327, 18336, 18337, 21411, 18859, 18350, 18352, 18867, 18357, 20411, 21441, 18882, 21954, 21956, 21445, 21449, 18384, 21970, 19923, 21459, 18905, 19929, 21465, 18912, 21473, 20456, 19954, 19959}"
5797,"{9220, 4103, 6679, 6168, 8219, 4651, 4652, 5703, 8263, 6731, 7756, 7761, 4182, 5730, 9317, 7793, 4731, 4732, 8832, 9362, 7321, 9371, 3742, 7326, 6820, 5797, 5798, 9382, 6824, 7337, 6830, 4789, 5305, 4282, 8892, 6336, 3266, 7363, 8397, 5840, 4313, 4314, 9441, 7909, 8428, 4848, 4849, 4851, 7925, 6390, 7415, 7931, 3325, 3841, 7431, 6416, 3868, 9506, 9507, 5926, 7981, 3376, 9012, 5433, 6970, 2877, 7504, 6996, 5462, 9048, 4954, 4955, 4956, 7516, 8538, 8038, 8039, 8047, 8048, 2930, 2931, 2932, 2933, 7031, 8055, 9086, 9607, 3978, 3979, 3980, 9611, 9103, 5008, 9110, 8088, 5531, 9644, 9655, 8632, 3003, 5053, 5054, 9661, 3009, 3010, 9667, 4552, 3530, 4043, 4554, 9674, 4575, 8159, 8162, 5616, 3569, 5617, 3070, 3071}"
32802,"{29707, 29196, 27663, 29714, 27668, 30740, 27158, 30744, 27675, 29212, 32798, 27170, 27171, 32802, 28198, 27687, 28201, 28714, 28715, 27692, 32811, 27185, 31796, 27710, 26689, 27210, 28251, 30301, 30309, 29815, 30343, 28300, 27792, 27796, 26773, 26774, 30356, 30357, 28825, 28826, 30871, 27804, 32916, 30879, 26784, 28328, 26797, 28847, 32432, 26806, 32952, 29372, 28349, 32959, 28354, 26819, 26820, 32966, 27847, 27336, 27337, 27848, 27849, 29384, 29385, 28369, 32979, 27350, 29400, 27867, 27870, 26852, 29924, 26854, 27368, 27371, 33004, 32498, 26874, 27902, 31502, 29456, 32532, 31513, 29981, 27424, 27427, 29478, 29480, 31536, 29490, 27444, 31541, 31542, 29496, 28474, 27451, 28475, 29507, 30021, 26953, 29513, 30044, 32605, 29535, 27489, 30054, 29545, 32108, 30065, 30583, 27005, 27521, 29578, 28043, 27534, 30094, 30098, 32658, 32659, 27541, 27031, 30110, 28064, 29604, 27560, 28078, 28595, 27572, 29632, 27586, 31172, 27590, 29127, 32712, 28618, 32714, 27615, 27616, 32735, 29156, 31208, 32764, 26607, 27633, 31218, 27635, 28664, 32252}"
