ID,green,red,cyan,pink,purple,yellow,orange,gray,blue
33327,1,0.60227,0.03409,0,0.03409,0,0.15909,0,0.09091
32964,1,0.28261,0.04348,0,0.02174,0.00725,0.10145,0.02174,0.05797
41971,1,0.26506,0.08434,0.01205,0.13253,0.04819,0.08434,0.06024,0.83133
66814,1,0.37755,0.02041,0,0.07143,0.02041,0.08163,0,0.67347
52974,1,0.5283,0.56604,0,0.15094,0.09434,0.32075,0.11321,0.41509
46793,1,0.61386,0.0396,0,0.10891,0.0396,0.21782,0.0198,0.63366
30307,1,0.47458,0.0678,0,0.22034,0.08475,0.10169,0,0.52542
4353,1,0.46914,0.06173,0,0.20988,0.08642,0.2963,0.03704,0.58025
53302,1,0.30612,0,0,0.05102,0.03061,0.04082,0,0.67347
76024,1,0.63462,0.07692,0.01923,0.05769,0.03846,0.19231,0,0.55769
59467,1,0.83117,0.20779,0,0.41558,0.1039,0.4026,0.05195,0.42857
11506,1,0.36697,0.10092,0,0.10092,0.05505,0.25688,0.00917,0.33945
65092,1,0.51351,0.10811,0,0.16216,0.05405,0.24324,0.13514,0.13514
51755,1,0.37705,0,0.06557,0.08197,0.04918,0.09836,0.03279,0.62295
17911,1,0.49351,0.06494,0,0.14286,0.06494,0.15584,0.01299,0.75325
1996,0.86301,0.45205,0.0411,0.0137,0.10959,0.0411,0.13699,0.0137,1
6365,1,0.52439,0.09756,0.0122,0.10976,0.07317,0.07317,0.06098,0.29268
75813,1,0.16667,0,0,0.02778,0.01389,0.06944,0,0.81944
19454,0.94737,0.36842,0.03509,0.01754,0.03509,0.01754,0.17544,0,1
24102,1,0.53333,0.08333,0,0.08333,0.01667,0.23333,0.01667,0.33333
72684,1,0.34375,0.0625,0.01562,0.07812,0.04688,0.17188,0.07812,0.54688
69454,1,0.36145,0.03614,0,0.08434,0.03614,0.10843,0.0241,0.44578
35052,1,0.95349,0.25581,0,0.25581,0.16279,0.16279,0.16279,0.48837
