ID,Ball
33327,"{25216, 32896, 32898, 57730, 59521, 22792, 73230, 67983, 8723, 18583, 17560, 33049, 67703, 72092, 23327, 34719, 64671, 71334, 33065, 67372, 33327, 33328, 73521, 34738, 23475, 33332, 34739, 58675, 10043, 25532, 10940, 64702, 24130, 25154, 51016, 59593, 65099, 32846, 55378, 33110, 30296, 33114, 32990, 51039, 2665, 19948, 32880, 39281, 21364, 45559, 73593, 62330, 67709}"
32964,"{30720, 67584, 67588, 14854, 31751, 73224, 48649, 73228, 73232, 58393, 58394, 30748, 48160, 58402, 58404, 57383, 58408, 74791, 8235, 58411, 23599, 67120, 67125, 69176, 70716, 11330, 22088, 22605, 27218, 1109, 32855, 67683, 73829, 67688, 67690, 1136, 24689, 63091, 67699, 67701, 25207, 63096, 63098, 63103, 34945, 63106, 63107, 48264, 5262, 35473, 29852, 24222, 40097, 32932, 46763, 52909, 46772, 67764, 69302, 13495, 8888, 46787, 71894, 71895, 43738, 67804, 67810, 47845, 24294, 47846, 47849, 36588, 36589, 36590, 36591, 47853, 62193, 47858, 33524, 47860, 47861, 47863, 13049, 61691, 67324, 70908, 42750, 22794, 15116, 67852, 75535, 17169, 55057, 18203, 50976, 73513, 73518, 25393, 70453, 63808, 38218, 73036, 70486, 25444, 54632, 67434, 51051, 21356, 55149, 43374, 22898, 67448, 29563, 51071, 21377, 60302, 70545, 25491, 46489, 46490, 46491, 46492, 24998, 42409, 29111, 15288, 50615, 75710, 69577, 27085, 24014, 54231, 24543, 71141, 74225, 66042, 61437, 23550}"
41971,"{68111, 20016, 41010, 41014, 63031, 1091, 20036, 20037, 34381, 34382, 34383, 75366, 75885, 13937, 56946, 46712, 21627, 24207, 17553, 17556, 69793, 55977, 70329, 50874, 28348, 59585, 42691, 18121, 20685, 20686, 75998, 23777, 13044, 37633, 42756, 39178, 50954, 70924, 73502, 73503, 71977, 1327, 54575, 32049, 25396, 69428, 18745, 30532, 41796, 31562, 1356, 36173, 52557, 17749, 39260, 20831, 68970, 44910, 29042, 10611, 47490, 67473, 26515, 51606, 56227, 70563, 6055, 18855, 18856, 18857, 50098, 5047, 54729, 54730, 52172, 16337, 72173, 70132, 75253, 75254, 70135, 25595, 3069}"
66814,"{36864, 11270, 64523, 9740, 43022, 51220, 3607, 67068, 9248, 32800, 51232, 55840, 33829, 66597, 69669, 33833, 33835, 47148, 33837, 35373, 51246, 33844, 33845, 68152, 47161, 49219, 75845, 7264, 45163, 40557, 20083, 29303, 75897, 75387, 61061, 4749, 14489, 59043, 69796, 34987, 46785, 46788, 36039, 14034, 49890, 55010, 2279, 8938, 22261, 17143, 27395, 34586, 22310, 27443, 27444, 36661, 27445, 27446, 27447, 27449, 27450, 27452, 27453, 27454, 27455, 27456, 30533, 33096, 18761, 27470, 34642, 27485, 27486, 53099, 53105, 32628, 24950, 56697, 62329, 2950, 62868, 60825, 42399, 12705, 1442, 50602, 7598, 8117, 75189, 68039, 36301, 27606, 48090, 13279, 66020, 15342, 20467, 4092}"
52974,"{23304, 46858, 23309, 23311, 23313, 53143, 58524, 53149, 53153, 49578, 21693, 19390, 53695, 60485, 29898, 19666, 19667, 19668, 23381, 23382, 23384, 23389, 20705, 8290, 20706, 19816, 19817, 19820, 19821, 73712}"
46793,"{36995, 6276, 70149, 49286, 73605, 24968, 48653, 70798, 67087, 67088, 40082, 66836, 67476, 8088, 28057, 40345, 51995, 40221, 3358, 25249, 36257, 59041, 67105, 67109, 67110, 41255, 67111, 41513, 14762, 42922, 44, 63405, 37934, 30640, 3890, 54965, 34236, 67838, 52164, 73797, 52166, 57799, 39113, 22348, 45010, 64980, 14677, 64983, 20056, 31707, 55772, 57820, 52834, 25571, 56674, 54630, 54637, 6009, 34938, 60157, 53886, 43775}"
30307,"{9217, 55938, 69249, 46598, 63880, 15243, 12044, 45582, 74137, 71451, 14876, 75293, 33824, 47011, 38692, 29482, 21553, 30514, 9396, 39478, 60086, 22968, 36024, 46136, 71481, 65340, 72886, 75064, 46399, 9028, 50245, 71364, 60616, 20814, 13647, 44499, 22996, 63187, 8535, 28506, 31837, 49885, 52831, 69087, 72674, 20452, 55524, 48358, 70376, 14569, 59627, 23152, 53360, 48115, 9462, 57470, 73597, 1918, 73471}"
4353,"{58880, 6171, 66591, 35, 34351, 5698, 63557, 67657, 53326, 14927, 7760, 25181, 69726, 41061, 39017, 57963, 57460, 31866, 56956, 38017, 56961, 66691, 27277, 44694, 30362, 14498, 64162, 70825, 54954, 5294, 58542, 43184, 42161, 27828, 20149, 28854, 41664, 71366, 14542, 35539, 23764, 44756, 33495, 70874, 41691, 41693, 34036, 50435, 53510, 44302, 273, 57621, 40222, 47907, 40235, 64309, 53563, 27989, 32111, 21882, 64382, 33158, 55695, 58768, 61840, 27047, 20904, 62376, 73144, 37305, 8635, 68032, 33731, 15812, 53207, 17881, 70113, 23025, 23027, 53240, 3070}"
53302,"{3589, 26118, 16905, 70160, 39459, 32304, 72755, 31797, 28735, 38464, 12869, 34378, 30795, 40533, 3675, 46171, 34397, 21611, 4721, 8314, 29318, 4751, 50832, 3219, 68761, 71323, 34461, 45725, 45220, 60077, 74926, 4791, 41656, 10938, 26810, 35004, 10945, 13514, 24285, 15070, 35551, 39140, 4331, 60146, 39670, 71438, 1808, 36127, 20772, 36143, 4913, 50994, 3892, 40244, 38711, 3900, 3901, 61246, 3903, 3904, 38723, 60230, 16199, 60233, 851, 38739, 11608, 60265, 60266, 60267, 60268, 27506, 33664, 36737, 62341, 71067, 14753, 43939, 11173, 36780, 58798, 71089, 30642, 21427, 65459, 65461, 65462, 65463, 65464, 38844, 38847, 37827, 38851, 18896, 38900, 49654, 39415, 19965}"
76024,"{60544, 21379, 47113, 13962, 23434, 42642, 14873, 17947, 46371, 21544, 49705, 58664, 49708, 71600, 71603, 36405, 13368, 45883, 51523, 48207, 49744, 10339, 60901, 11494, 13673, 32107, 57580, 71531, 18288, 13562, 45307, 56700, 43646}"
