ID,green,red,cyan,pink,purple,yellow,orange,gray,blue
43380,98,52,5,0,3,3,17,2,8
56863,124,48,15,0,4,2,16,8,11
60031,108,40,7,2,16,7,13,11,87
34468,114,39,2,0,7,2,9,0,78
52974,65,42,33,1,12,6,22,6,26
44881,129,74,4,0,13,3,25,2,79
30307,66,29,5,0,15,5,8,0,35
4353,91,46,5,0,17,8,28,3,52
53302,119,35,0,0,5,3,6,0,81
76024,64,38,4,1,6,1,17,0,33
24667,90,70,21,1,37,7,36,7,40
11506,117,44,12,0,13,6,31,5,38
65092,84,42,8,0,12,4,20,11,12
51755,79,30,1,4,8,3,11,2,42
17911,100,55,9,0,14,5,19,3,74
1996,85,47,4,1,11,4,18,4,88
6365,114,61,9,1,12,9,12,5,37
75813,86,20,0,0,4,1,5,0,75
19454,71,29,2,1,4,1,11,0,66
24102,76,43,5,0,7,6,19,3,27
72684,76,24,7,1,5,3,13,6,42
69454,107,28,4,0,10,4,12,2,46
35052,57,46,12,0,13,8,8,7,26
26939,58,19,4,0,6,4,6,5,49
3932,53,67,9,0,22,10,32,8,11
4045,64,29,3,0,8,3,21,7,13
74685,69,26,1,0,4,2,5,0,40
74676,64,17,10,0,3,2,5,9,53
57563,56,47,14,0,4,4,22,2,37
13245,75,44,15,0,15,10,20,4,24
42080,67,38,1,0,13,2,26,1,29
17664,54,39,2,0,7,8,12,0,27
40165,66,20,2,0,4,1,5,1,92
71251,82,65,10,1,19,9,24,5,29
64422,22,33,32,0,24,20,32,25,5
32237,49,34,1,1,10,2,14,3,48
12886,56,28,5,1,4,1,14,1,77
66489,49,31,3,0,6,3,15,14,39
74316,88,29,7,1,3,5,12,4,30
11899,79,31,0,0,6,1,14,1,95
47128,52,15,1,2,2,0,4,1,77
18273,89,13,0,0,2,1,3,0,62
50372,61,38,1,0,11,1,13,0,5
22780,57,30,2,0,3,0,14,0,87
47702,70,18,3,2,6,0,5,8,73
2984,92,29,2,0,1,0,12,0,94
62146,52,10,1,1,1,2,9,0,62
8493,73,23,2,0,2,3,10,0,109
73052,68,71,3,0,15,4,31,4,8
10188,64,31,2,0,8,2,4,10,33
13069,65,44,7,0,16,6,12,2,13
17818,50,33,2,1,12,1,16,3,60
10653,71,35,6,3,5,2,8,0,36
33538,62,21,2,0,13,1,22,7,32
37420,65,42,4,4,9,5,18,3,23
38782,65,12,0,0,2,1,6,0,95
60685,41,13,1,1,0,0,5,0,96
44447,76,44,4,0,13,5,19,10,27
18666,52,30,5,0,8,7,13,3,21
68075,168,46,12,0,14,7,26,13,87
6888,64,21,4,0,12,2,12,2,20
14273,74,32,3,1,7,3,11,1,43
