ID,green,red,cyan,pink,purple,yellow,orange,gray,blue
8235,1,0.57593,0.15473,0,0.13467,0.0745,0.21777,0.11748,0.17192
60357,1,0.29091,0.07273,0.01818,0.11515,0.04242,0.12727,0.07879,0.84848
72502,1,0.28077,0.01538,0.00385,0.03846,0.01154,0.09615,0.00385,0.96923
63192,1,0.57724,0.15447,0.00813,0.23577,0.05691,0.37398,0.06911,0.46748
66787,1,0.39004,0.07469,0.00415,0.12033,0.05394,0.14938,0.03734,0.38174
22665,1,0.66146,0.25521,0.01042,0.19271,0.0625,0.22396,0.10417,0.59896
32412,1,0.65455,0.11273,0,0.20364,0.09091,0.30545,0.08364,0.21818
65865,1,0.56325,0.0512,0.00904,0.10542,0.04518,0.26506,0.06325,0.68976
9687,1,0.64662,0.07519,0,0.17293,0.07143,0.31203,0.03383,0.42481
49704,0.97328,0.31679,0.0229,0.02672,0.06489,0.0229,0.12977,0.01527,1
76377,1,0.45455,0.04545,0.00758,0.08333,0.0303,0.19697,0.0303,0.93939
73810,1,0.59231,0.07692,0.00769,0.10769,0.07692,0.12308,0.03846,0.34615
47439,1,0.32209,0.05828,0.01534,0.05215,0.02147,0.10736,0.07669,0.72086
8352,1,0.60119,0.04762,0,0.20238,0.09524,0.22619,0.04762,0.39881
13445,1,0.6303,0.09697,0.01212,0.2,0.08485,0.26061,0.07273,0.40606
32179,1,0.31401,0.01932,0.00483,0.03382,0.03865,0.08213,0.01932,0.80193
66639,1,0.56571,0.06286,0.00571,0.16,0.02857,0.32,0.05714,0.62857
73771,0.7619,0.17143,0.00635,0.00635,0.0127,0.00952,0.06349,0.00317,1
17444,0.84321,0.223,0.01394,0.00697,0.01742,0,0.09059,0,1
47179,1,0.43046,0.09934,0,0.1457,0.04636,0.25166,0.02649,0.62252
74441,1,0.73973,0.05936,0.01826,0.23288,0.07763,0.31963,0.04566,0.25114
38733,1,0.57931,0.28966,0,0.31034,0.13793,0.46207,0.15862,0.28276
64991,0.97073,0.52195,0.05366,0.02439,0.09756,0.03902,0.19024,0.01951,1
52538,1,0.31016,0.0107,0,0.04278,0.04278,0.15508,0.02139,0.50267
70165,1,0.57477,0.05607,0,0.18224,0.03738,0.30374,0.03738,0.49065
53005,0.58984,0.23047,0.00391,0.00391,0.03516,0.00781,0.08984,0.00781,1
34089,1,0.37559,0.0892,0.00939,0.07981,0.05634,0.13146,0.01408,0.83099
50082,0.93213,0.13575,0.00452,0.00905,0.02262,0.00905,0.04072,0,1
27140,0.80597,0.20522,0.01493,0.00746,0.02239,0.01493,0.09328,0,1
34364,1,0.25359,0.00478,0,0.05742,0.01435,0.08612,0.01914,0.96651
5723,1,0.47639,0.03004,0,0.13734,0.03433,0.24464,0.04721,0.38627
31292,1,0.32243,0.07009,0,0.11215,0.04206,0.1028,0.0514,0.52804
51789,1,0.28571,0.01128,0.0188,0.06015,0.02632,0.15414,0.04511,0.7594
43683,1,0.58286,0.08571,0,0.13714,0.09143,0.34286,0.04571,0.46286
64808,1,0.30901,0.00858,0,0.06438,0.01717,0.13734,0.02146,0.82833
74003,0.49817,0.12821,0.01465,0,0.02198,0,0.04396,0.00733,1
46921,1,0.45503,0.0582,0,0.13757,0.07407,0.22751,0.01587,0.99471
67128,0.77895,1,0.45263,0,0.50526,0.27368,0.54737,0.13684,0.24211
35699,1,0.42353,0,0.01176,0.09412,0.01765,0.16471,0.00588,0.98824
461,0.78899,0.24771,0,0,0.04128,0.01376,0.11468,0.00459,1
54042,1,0.53659,0.04878,0.01829,0.14024,0.04878,0.22561,0.01829,0.80488
44837,1,0.33778,0.01778,0,0.08444,0.01778,0.13778,0.01333,0.51556
18919,0.60699,0.12664,0.02183,0.00437,0.04367,0.00873,0.0524,0.00437,1
2957,1,0.27468,0.04721,0,0.0515,0.03004,0.06009,0.06009,0.74678
62534,0.98084,0.29885,0.0613,0.01916,0.07663,0.03065,0.11877,0.02682,1
25092,1,0.57592,0.06283,0.00524,0.0733,0.04188,0.2356,0.01571,0.87958
70318,1,0.38725,0.04412,0.0049,0.09804,0.01961,0.15686,0.01471,0.90686
41709,1,0.45395,0.05263,0,0.16447,0.03289,0.19079,0.01316,0.96711
56769,0.85427,0.28643,0.04523,0,0.05025,0.0201,0.10553,0.01005,1
818,0.8787,0.18047,0.01775,0.00592,0.02663,0.00888,0.07988,0.00296,1
48289,0.88542,0.35417,0.02604,0,0.10417,0.04167,0.13542,0.04167,1
13743,1,0.29412,0.01765,0.01176,0.07059,0.02941,0.08235,0,0.94706
57184,1,0.31579,0.05263,0.02392,0.08134,0.02392,0.17703,0.02871,0.57416
10074,0.53168,0.12121,0.00826,0.01102,0.01377,0.01102,0.0303,0.00551,1
45541,0.73593,0.12987,0.01299,0,0.01732,0.02597,0.07359,0.01299,1
15963,0.74194,0.17512,0,0.00922,0.01843,0.0553,0.05991,0.01843,1
40982,0.60262,0.11354,0.00873,0.00437,0.0131,0.00437,0.0524,0.0131,1
47032,1,0.33514,0.04865,0.01081,0.07568,0.02703,0.16216,0.02703,0.77838
51546,0.84914,0.23276,0.02586,0,0.04741,0.02586,0.14224,0.00862,1
4153,1,0.4539,0.12057,0.00709,0.1844,0.05674,0.16312,0.01418,0.51064
22983,0.77835,0.30412,0.10309,0.04124,0.08247,0.03093,0.1134,0.00515,1
20949,1,0.3252,0.07317,0.0122,0.0935,0.06911,0.15854,0.00813,0.71138
64780,0.61538,0.09744,0.01026,0.00513,0.00513,0.00513,0.03077,0.02564,1
64554,0.66825,0.109,0.03318,0.01896,0.0237,0.00474,0.01896,0.01896,1
63047,0.8301,0.16505,0,0.01456,0.02427,0,0.03398,0.02913,1
50842,0.50621,0.09938,0.01863,0.00311,0.01553,0.00621,0.03727,0.00311,1
20362,1,0.40541,0.05946,0,0.12973,0.05946,0.20541,0.01081,0.75135
25224,1,0.32778,0.03889,0,0.15556,0.03333,0.2,0.07222,0.86111
62171,0.47278,0.14613,0.03152,0.02292,0.03725,0.01433,0.06017,0.00573,1
70120,0.6,0.18462,0.04615,0.01154,0.02692,0.02308,0.07692,0.00385,1
26389,0.91209,0.37912,0.07143,0,0.16484,0.07143,0.28571,0.02198,1
26394,0.21962,0.02985,0.00853,0.01706,0.0064,0.01066,0.02345,0.00853,1
46810,1,0.43421,0.05263,0,0.125,0.01316,0.17105,0.01316,0.75658
73489,1,0.45455,0.29545,0,0.38636,0.13636,0.29545,0.34091,0.15909
63721,0.58929,0.11607,0.00446,0.00893,0.01786,0.00446,0.04018,0.00446,1
60159,0.59172,0.22485,0.0355,0.00592,0.07101,0,0.06509,0.00592,1
13488,0.45865,0.11654,0.00752,0.02632,0.01504,0,0.02256,0.01128,1
