ID,green,red,cyan,pink,purple,yellow,orange,gray,blue
8235,349,201,54,0,47,26,76,41,60
60357,165,48,12,3,19,7,21,13,140
72502,260,73,4,1,10,3,25,1,252
63192,246,142,38,2,58,14,92,17,115
66787,241,94,18,1,29,13,36,9,92
22665,192,127,49,2,37,12,43,20,115
32412,275,180,31,0,56,25,84,23,60
65865,332,187,17,3,35,15,88,21,229
9687,266,172,20,0,46,19,83,9,113
49704,255,83,6,7,17,6,34,4,262
76377,132,60,6,1,11,4,26,4,124
73810,130,77,10,1,14,10,16,5,45
47439,326,105,19,5,17,7,35,25,235
8352,168,101,8,0,34,16,38,8,67
13445,165,104,16,2,33,14,43,12,67
32179,207,65,4,1,7,8,17,4,166
66639,175,99,11,1,28,5,56,10,110
73771,240,54,2,2,4,3,20,1,315
17444,242,64,4,2,5,0,26,0,287
47179,151,65,15,0,22,7,38,4,94
74441,219,162,13,4,51,17,70,10,55
38733,145,84,42,0,45,20,67,23,41
64991,199,107,11,5,20,8,39,4,205
52538,187,58,2,0,8,8,29,4,94
70165,214,123,12,0,39,8,65,8,105
53005,151,59,1,1,9,2,23,2,256
34089,213,80,19,2,17,12,28,3,177
50082,206,30,1,2,5,2,9,0,221
27140,216,55,4,2,6,4,25,0,268
34364,209,53,1,0,12,3,18,4,202
5723,233,111,7,0,32,8,57,11,90
31292,214,69,15,0,24,9,22,11,113
51789,266,76,3,5,16,7,41,12,202
43683,175,102,15,0,24,16,60,8,81
64808,233,72,2,0,15,4,32,5,193
74003,136,35,4,0,6,0,12,2,273
46921,189,86,11,0,26,14,43,3,188
67128,74,95,43,0,48,26,52,13,23
35699,170,72,0,2,16,3,28,1,168
461,172,54,0,0,9,3,25,1,218
54042,164,88,8,3,23,8,37,3,132
44837,225,76,4,0,19,4,31,3,116
18919,139,29,5,1,10,2,12,1,229
2957,233,64,11,0,12,7,14,14,174
62534,256,78,16,5,20,8,31,7,261
25092,191,110,12,1,14,8,45,3,168
70318,204,79,9,1,20,4,32,3,185
41709,152,69,8,0,25,5,29,2,147
56769,170,57,9,0,10,4,21,2,199
818,297,61,6,2,9,3,27,1,338
48289,170,68,5,0,20,8,26,8,192
13743,170,50,3,2,12,5,14,0,161
57184,209,66,11,5,17,5,37,6,120
10074,193,44,3,4,5,4,11,2,363
