ID,Ball
43380,"{62469, 69645, 73230, 8723, 16920, 33327, 29232, 33328, 33332, 72761, 24130, 25154, 65099, 24652, 32844, 32846, 55378, 3156, 30292, 53334, 73813, 30296, 40549, 2665, 62057, 32877, 32880, 32881, 67700, 21621, 32886, 67703, 62077, 67709, 67710, 25216, 32896, 32898, 59521, 32908, 18583, 17560, 32921, 64671, 71331, 71334, 44209, 10940, 64702, 32964, 59593, 39118, 58070, 63704, 32990, 35552, 4837, 23789, 23280, 32003, 39684, 22792, 75534, 33049, 58138, 33051, 33053, 23327, 33056, 33065, 67372, 62255, 73521, 58675, 57652, 10043, 55617, 12104, 51016, 33110, 33111, 33112, 33113, 33114, 19291, 51039, 39281, 67953, 67954, 21364, 60788, 73593, 62330, 57730, 54147, 29060, 41349, 67459, 37773, 67981, 67983, 67479, 22426, 12187, 72092, 34719, 26537, 23468, 34738, 23475, 34739, 34740, 54710, 67002, 2491, 25532, 45513, 23504, 39912, 19948, 35310, 46064, 59888, 2037, 45559, 54776}"
58125,"{57733, 61451, 35729, 35606, 63132, 286, 31026, 21944, 35522, 46532, 36170, 5707, 36172, 41815, 62938, 31706, 30558, 66529, 17380, 14196, 25341}"
14488,"{2560, 36864, 11270, 64523, 9740, 43022, 2067, 51220, 32789, 3607, 67068, 27678, 9248, 32800, 51232, 55840, 33829, 69669, 33833, 33835, 47148, 33837, 35373, 51246, 57907, 33844, 33845, 20023, 68152, 47161, 42042, 49219, 75845, 38479, 63058, 22108, 33884, 7264, 45163, 40557, 20083, 56950, 29303, 31353, 66170, 75387, 75897, 36661, 61061, 45703, 31881, 4749, 14478, 28818, 22167, 14489, 8860, 59043, 69796, 19622, 34987, 9393, 48820, 31417, 26813, 39614, 46785, 36035, 46788, 36039, 14034, 30423, 17118, 49890, 55010, 55012, 2279, 8938, 65258, 22261, 17143, 27395, 32006, 56597, 34586, 70948, 14117, 50471, 73000, 2348, 50482, 27443, 27444, 5429, 27445, 27446, 27447, 27449, 19258, 27450, 27452, 27453, 27454, 27455, 27456, 30533, 33096, 18761, 27470, 34642, 27485, 27486, 2914, 69986, 21861, 53099, 59247, 53105, 32628, 24950, 56697, 62329, 2950, 62868, 60825, 73628, 42399, 12705, 1442, 7598, 5554, 8117, 75189, 50103, 44998, 68039, 42442, 36301, 27606, 36823, 48090, 17374, 34787, 66020, 33766, 15342, 20467, 47605, 2552, 4092, 32765}"
36248,"{23304, 46858, 23309, 23311, 23313, 56209, 1430, 53143, 58524, 53149, 53153, 43043, 49578, 21693, 19390, 53695, 60485, 29898, 19666, 19667, 19668, 23381, 23382, 23384, 23389, 18144, 20705, 8290, 20706, 19816, 19817, 19820, 19821, 65644, 73712}"
57978,"{52608, 48897, 33539, 50949, 59141, 53649, 51986, 75540, 65174, 48925, 64029, 39204, 39590, 34599, 63143, 38441, 57769, 3118, 2226, 60082, 23221, 37046, 44995, 37958, 53576, 44622, 59087, 19152, 35536, 45650, 339, 4309, 67037, 47074, 35557, 58725, 53228, 68082, 13685, 4598, 64886, 68086, 57980, 12926}"
11517,"{58371, 34692, 69773, 7694, 9237, 9495, 45471, 6304, 45218, 59427, 60208, 30129, 5817, 46139, 52418, 1220, 60372, 74967, 47198, 21727, 74974, 74975, 66787, 72306, 31864}"
50688,"{18944, 24577, 72194, 70159, 47142, 44586, 48683, 72247, 66104, 48703, 31808, 57920, 41548, 41549, 46680, 43621, 39016, 22129, 60017, 64628, 47221, 14459, 59518, 641, 70790, 70792, 13453, 66707, 47255, 70814, 8870, 12454, 32941, 12467, 10934, 6844, 52415, 31425, 74438, 9424, 58066, 58072, 38113, 10978, 18659, 62184, 51435, 25333, 49404, 71942, 45321, 67855, 6929, 15126, 56598, 70422, 53027, 48940, 69426, 66370, 24900, 24901, 24904, 39752, 12620, 44368, 48981, 41827, 32101, 71021, 24943, 71024, 24945, 24947, 24949, 32121, 44411, 25984, 45957, 45959, 51595, 55192, 55196, 49567, 49568, 55199, 12706, 70560, 30639, 62398, 67531, 70098, 51670, 12251, 22493, 23018, 71148, 75760, 41465, 66556}"
33127,"{47623, 21517, 9747, 68636, 30755, 30756, 39972, 68646, 36910, 44596, 66102, 20540, 75339, 25171, 20565, 19542, 47192, 25179, 54369, 57452, 34419, 45699, 33931, 24722, 46739, 49302, 68246, 70811, 15517, 13469, 4268, 57005, 72887, 23244, 9941, 43222, 17125, 65766, 65256, 14072, 55045, 71433, 38667, 56075, 38669, 39694, 56078, 47888, 65803, 30484, 73492, 62751, 46883, 14124, 6452, 31547, 62786, 66885, 67402, 1867, 72544, 33127, 54124, 1395, 58739, 41344, 24964, 5509, 60817, 55208, 55210, 55214, 55215, 64436, 55222, 22475, 65486, 34779, 25567, 4601}"
65865,"{27136, 23554, 47113, 11788, 14873, 17947, 63527, 21544, 49705, 62505, 57899, 49708, 68139, 68140, 68141, 68142, 49713, 68143, 68144, 68145, 36405, 57909, 72242, 13368, 75826, 19515, 15932, 57934, 48207, 49744, 32849, 22616, 10336, 10339, 10340, 10341, 22630, 60003, 15981, 43646, 60544, 39047, 13962, 5264, 42642, 51873, 21666, 71848, 65198, 13490, 43705, 3259, 66749, 62677, 11494, 57580, 64245, 13562, 45307, 35586, 58629, 65285, 41230, 8470, 41238, 76061, 59170, 46371, 36645, 47400, 58664, 54573, 54574, 68400, 38198, 45883, 51523, 9036, 6480, 10588, 71519, 43880, 13673, 32107, 71531, 75627, 18288, 56700, 21379, 52100, 23434, 56718, 1428, 75668, 68507, 75675, 68509, 68010, 71600, 71603, 19391, 67007, 50625, 37317, 43463, 40396, 22480, 24530, 20955, 75231, 60901, 11754, 3563, 72683, 37357, 37358, 25071, 37359, 37360, 49136, 13302, 61943}"
5294,"{41976, 13316, 45818, 1445, 59176, 38444, 53677, 24111, 62386, 61748, 11446, 43446, 48182, 6457, 23866, 22586, 48186, 64318, 3523, 33734, 48713, 35152, 48977, 66134, 56667, 20189, 66911, 29416, 44265, 51947, 48365, 69358, 46968, 45178}"
