ID,green,red,cyan,pink,purple,yellow,orange,gray,blue
43380,120,63,8,0,5,4,20,4,13
67982,103,39,11,0,3,2,12,7,5
60357,95,23,8,1,13,5,10,6,83
38045,135,49,2,0,8,3,15,1,107
63375,81,47,33,0,10,7,21,9,48
68797,88,39,7,0,17,5,12,0,36
20232,119,48,6,0,13,5,30,3,42
22982,122,74,6,0,13,4,25,2,67
76024,96,55,5,1,9,1,22,3,57
9009,71,69,19,0,27,9,27,5,29
65092,94,47,12,0,14,6,21,9,14
71647,89,46,5,0,16,10,26,3,48
64746,81,29,2,5,8,3,10,2,41
46106,125,38,0,0,5,3,6,0,83
45210,82,39,2,0,10,4,13,2,61
6365,108,62,11,1,12,7,12,5,39
17686,79,38,2,1,9,4,16,1,88
36726,94,63,7,0,12,8,20,9,45
35052,67,54,12,0,14,8,10,8,26
24634,89,27,3,0,6,3,9,2,38
53868,76,45,2,0,8,7,24,2,21
69113,57,19,4,1,2,2,8,6,37
3932,47,56,5,0,19,5,32,7,10
48027,86,21,12,1,3,3,7,9,69
73962,93,33,6,0,5,5,13,4,32
70942,70,34,7,0,11,11,8,2,20
26443,80,21,0,1,2,2,3,0,57
18533,55,19,1,0,3,1,3,1,98
41177,59,44,7,2,19,7,20,4,19
70688,86,16,0,0,2,1,6,1,76
14339,55,35,2,1,10,3,19,3,52
12886,74,34,6,0,8,1,22,1,82
59953,47,44,15,0,3,4,20,3,32
67070,66,32,6,0,7,4,23,2,13
22780,48,24,2,0,2,0,17,1,83
13340,94,26,2,0,1,0,14,0,96
64422,16,28,26,0,17,17,26,19,5
60095,68,19,2,1,4,1,3,1,85
73052,49,58,2,0,13,3,23,4,7
34309,70,38,3,0,9,1,22,2,43
18273,98,12,0,1,3,1,5,0,85
45048,61,26,5,1,6,6,7,6,41
33438,67,58,8,0,16,11,13,1,9
10981,38,11,0,1,2,0,6,0,104
27793,72,20,4,2,6,0,4,8,64
38782,48,9,0,0,2,0,4,0,74
68075,117,36,8,0,10,5,12,5,62
62499,62,27,3,0,13,0,20,4,25
8154,80,31,2,0,8,1,15,1,94
18666,53,35,6,0,9,6,17,1,23
51540,59,41,4,0,14,2,14,2,12
39239,61,21,2,0,2,2,11,0,93
29956,71,29,2,0,10,2,3,6,40
26954,38,42,12,0,31,15,24,5,8
66021,100,35,3,0,6,3,18,2,41
65836,57,37,2,4,8,3,16,4,20
75068,88,37,2,0,12,5,24,4,47
70071,40,42,36,1,15,9,23,19,6
55597,60,50,7,0,17,4,19,0,26
183,61,22,0,0,3,1,13,0,82
20844,78,23,1,0,0,1,6,1,50
41016,69,31,6,1,2,5,11,0,84
6762,76,38,0,0,5,1,15,2,24
13595,67,15,2,1,1,2,2,0,74
65604,68,48,3,0,8,2,19,8,43
31955,31,28,26,0,23,14,25,9,8
66623,85,25,7,0,4,2,7,1,46
9460,38,4,1,0,2,0,9,0,74
76298,78,33,3,0,8,4,32,3,38
56883,65,22,8,1,7,3,11,1,57
23071,70,14,1,1,1,0,11,1,2
69260,98,28,0,0,4,1,11,2,79
50433,70,7,0,0,0,1,4,0,92
70462,75,33,3,0,10,1,17,5,45
65596,57,8,2,0,3,0,8,2,95
18819,75,45,5,2,12,4,17,2,81
58765,48,16,0,2,3,3,10,4,81
59451,68,27,5,0,7,0,14,2,66
4564,86,35,1,1,8,1,15,1,58
38534,72,27,0,1,7,2,9,0,70
20954,55,30,3,0,6,7,15,1,36
74805,70,18,0,4,6,2,13,7,48
34582,40,33,12,0,10,4,15,6,23
42794,105,36,1,0,10,2,20,3,71
53384,64,41,3,1,8,4,14,11,42
15112,59,40,6,0,8,3,20,2,34
29755,67,7,1,0,0,0,5,0,79
8678,59,18,4,0,7,4,14,1,20
16678,67,32,6,0,11,1,6,0,33
44678,57,25,3,0,4,0,7,0,76
9881,69,42,6,0,8,3,18,2,58
66339,54,31,10,0,18,10,24,16,30
63449,40,17,1,0,1,0,7,0,87
38839,52,6,1,1,3,0,0,2,72
29524,45,10,1,2,2,0,5,0,65
10982,79,31,2,0,5,2,11,1,30
