ID,green,red,cyan,pink,purple,yellow,orange,gray,blue
30296,1,0.55556,0.07639,0,0.10417,0.04861,0.22917,0.04861,0.14583
67982,1,0.45556,0.15556,0,0.04444,0.01111,0.15556,0.11111,0.08889
71731,1,0.3125,0.07031,0.01562,0.15625,0.05469,0.10938,0.09375,0.84375
33465,1,0.37324,0.02113,0,0.06338,0.02113,0.11972,0,0.80986
27148,1,0.6,0.35789,0.02105,0.13684,0.07368,0.32632,0.09474,0.63158
48994,1,0.41593,0.0708,0.00885,0.19469,0.0531,0.15929,0.0177,0.49558
34533,1,0.47328,0.10687,0,0.12214,0.0458,0.28244,0.0458,0.36641
36995,1,0.5969,0.03101,0,0.10853,0.03101,0.20155,0.0155,0.6124
57580,1,0.63492,0.05556,0.00794,0.11111,0.03968,0.24603,0.05556,0.54762
33127,1,0.73267,0.21782,0,0.34653,0.06931,0.37624,0.07921,0.33663
70790,1,0.51327,0.10619,0,0.14159,0.04425,0.23894,0.10619,0.11504
48854,1,0.49167,0.05,0,0.15,0.09167,0.23333,0.03333,0.6
59052,1,0.38889,0.02222,0.06667,0.08889,0.04444,0.12222,0.02222,0.63333
27933,1,0.29655,0,0,0.04138,0.02759,0.06207,0,0.73103
211,1,0.49485,0.05155,0,0.15464,0.05155,0.2268,0.03093,0.76289
5325,1,0.53659,0.07317,0.00813,0.10569,0.07317,0.12195,0.04065,0.31707
13123,0.98113,0.46226,0.03774,0.00943,0.09434,0.03774,0.20755,0.03774,1
6150,1,0.65323,0.07258,0,0.12903,0.06452,0.20161,0.1129,0.42742
53269,1,0.92188,0.20312,0,0.25,0.125,0.20312,0.125,0.4375
36528,1,0.30526,0.03158,0,0.08421,0.03158,0.13684,0.02105,0.44211
6139,1,0.60274,0.06849,0,0.15068,0.12329,0.34247,0.0411,0.38356
51300,1,0.39437,0.08451,0.01408,0.05634,0.04225,0.14085,0.08451,0.60563
25333,0.825,1,0.175,0,0.275,0.15,0.45,0.1125,0.25
7900,1,0.24272,0.12621,0.00971,0.02913,0.03883,0.07767,0.07767,0.93204
4028,1,0.33333,0.06481,0.00926,0.0463,0.05556,0.12963,0.03704,0.34259
71437,1,0.54545,0.07955,0,0.14773,0.125,0.125,0.03409,0.23864
74745,1,0.29808,0.00962,0.00962,0.02885,0.01923,0.06731,0,0.75
7376,0.63014,0.19863,0.0137,0,0.03425,0.02055,0.0411,0.0137,1
54683,1,0.65556,0.08889,0.02222,0.24444,0.11111,0.23333,0.05556,0.33333
18622,1,0.18421,0,0,0.02632,0.00877,0.04386,0.00877,0.99123
75922,1,0.62963,0.08642,0.02469,0.17284,0.04938,0.37037,0.06173,0.85185
56718,1,0.45528,0.05691,0.01626,0.09756,0.01626,0.27642,0.01626,0.74797
65026,0.87931,1,0.34483,0,0.08621,0.12069,0.37931,0.12069,0.60345
43389,1,0.44186,0.09302,0,0.11628,0.05814,0.38372,0.0814,0.2093
9046,0.65657,0.32323,0.0202,0,0.0303,0,0.16162,0.0101,1
28269,1,0.3007,0.01399,0,0.00699,0,0.12587,0,0.97902
40001,0.80556,0.91667,1,0,0.63889,0.61111,0.91667,0.86111,0.13889
10359,0.77391,0.2087,0.0087,0.0087,0.01739,0.0087,0.04348,0,1
65144,1,1,0.09375,0,0.23438,0.04688,0.5,0.04688,0.10938
21888,1,0.44898,0.04082,0,0.14286,0.03061,0.31633,0.02041,0.45918
46099,1,0.18919,0,0.00901,0.03604,0.00901,0.04505,0,0.90991
19493,1,0.63077,0.09231,0.01538,0.09231,0.15385,0.12308,0.07692,0.61538
47510,1,0.89535,0.12791,0,0.2907,0.16279,0.25581,0.03488,0.15116
34588,0.5,0.13333,0,0.00833,0.01667,0,0.04167,0,1
4838,1,0.2549,0.03922,0.01961,0.06863,0,0.09804,0.12745,0.85294
58632,0.76344,0.21505,0,0,0.02151,0.01075,0.05376,0.01075,1
22849,1,0.2549,0.0719,0,0.05882,0.03922,0.15686,0.06536,0.47059
49498,1,0.38667,0.04,0,0.18667,0.01333,0.29333,0.09333,0.44
62319,0.85833,0.30833,0.01667,0,0.06667,0.01667,0.13333,0.00833,1
40410,1,0.66197,0.09859,0,0.21127,0.11268,0.30986,0.04225,0.40845
51502,1,0.59524,0.04762,0,0.19048,0.02381,0.27381,0.03571,0.17857
18375,0.71795,0.19231,0.01282,0,0.03205,0.01923,0.07692,0.00641,1
51112,1,0.48649,0.04054,0,0.17568,0.02703,0.13514,0.12162,0.58108
34951,0.81481,1,0.38889,0,0.68519,0.38889,0.61111,0.16667,0.22222
61470,1,0.27119,0.02542,0,0.05085,0.02542,0.16949,0.0339,0.44068
52774,1,0.68657,0.02985,0.0597,0.16418,0.07463,0.25373,0.0597,0.44776
28176,1,0.43119,0.00917,0,0.12844,0.04587,0.20183,0.0367,0.55046
33752,0.93333,1,0.91667,0.01667,0.55,0.4,0.7,0.46667,0.11667
34753,1,0.68966,0.09195,0,0.24138,0.05747,0.29885,0.03448,0.42529
67005,0.71429,0.22689,0.01681,0,0.05042,0.0084,0.10084,0.0084,1
66690,1,0.3038,0.01266,0,0.01266,0.01266,0.08861,0.01266,0.77215
62781,0.9619,0.37143,0.05714,0.00952,0.06667,0.05714,0.12381,0.0381,1
34920,1,0.4902,0,0,0.04902,0.0098,0.16667,0.02941,0.30392
3838,0.79167,0.1875,0.02083,0.02083,0.01042,0.02083,0.0625,0,1
38538,1,0.60215,0.02151,0,0.11828,0.02151,0.23656,0.08602,0.58065
75053,1,0.96774,0.93548,0,0.83871,0.45161,0.90323,0.29032,0.35484
51657,1,0.26415,0.07547,0,0.0566,0.0283,0.10377,0.00943,0.54717
11612,0.69231,0.11538,0.01923,0,0.03846,0,0.10577,0,1
49906,1,0.43182,0.05682,0,0.10227,0.04545,0.39773,0.03409,0.45455
50571,1,0.41558,0.11688,0.01299,0.12987,0.05195,0.15584,0,0.79221
44954,1,0.22124,0.0177,0.00885,0.04425,0,0.15929,0.00885,0.19469
43664,1,0.31452,0.00806,0,0.06452,0.00806,0.12903,0.01613,0.89516
42163,0.68519,0.05556,0,0.00926,0,0.00926,0.03704,0,1
5689,1,0.41379,0.04598,0,0.13793,0.01149,0.2069,0.09195,0.65517
44830,0.58599,0.10191,0.01274,0,0.03185,0,0.05732,0.01274,1
