ID,Ball
30296,"{62469, 69645, 73230, 8723, 33327, 33328, 33332, 72761, 24130, 25154, 65099, 32846, 55378, 3156, 30296, 24156, 40549, 2665, 32880, 75892, 21621, 67703, 67709, 62077, 25216, 32896, 32898, 59521, 55956, 18583, 64671, 71334, 10940, 64702, 20166, 59593, 58070, 32990, 9960, 23789, 73985, 22792, 33049, 58138, 33053, 23327, 33065, 67372, 73521, 58675, 10043, 55617, 51016, 33110, 33114, 16219, 19291, 51039, 39281, 67954, 21364, 73593, 62330, 57730, 54147, 41349, 37773, 67983, 12187, 72092, 34719, 34738, 23475, 34739, 54710, 67002, 2491, 25532, 19948, 45559}"
67982,"{32003, 29060, 39684, 67459, 32908, 67981, 75534, 67479, 16920, 32921, 22426, 33051, 71331, 23468, 29232, 34740, 57652, 32964, 58436, 12104, 32844, 30292, 73813, 53334, 33111, 33112, 33113, 39912, 1386, 32877, 39661, 46064, 32881, 67953, 60788, 2037, 32886, 67700, 43512, 70644, 67710}"
71731,"{24066, 16900, 59908, 6538, 21514, 12300, 65552, 33553, 55826, 9243, 71835, 53534, 63007, 64290, 75568, 66098, 71731, 45882, 22081, 19778, 71874, 51271, 5835, 63307, 58319, 18137, 75994, 13147, 75995, 5725, 75996, 62431, 20474, 41447, 60777, 63468, 5102, 46967, 39544, 22010}"
33465,"{25474, 50950, 51340, 52364, 33294, 27535, 16401, 2203, 19359, 22439, 6056, 51241, 51245, 31921, 1842, 27442, 38068, 41650, 44342, 19639, 51250, 5305, 33465, 27451, 37948, 51252, 36030, 50622, 36032, 9793, 36036, 36037, 33480, 33481, 32458, 63054, 40783, 51280, 51281, 51285, 20571, 19804, 32102, 55014, 14185, 50155, 878, 72818, 31091, 31349, 31350, 31351, 31354}"
27148,"{25985, 5258, 27148, 270, 54032, 37758, 2709, 63255, 34968, 63257, 5786, 66716, 51489, 61730, 71547, 27305, 62892, 34477, 76462, 71550, 76469, 3256, 13753, 48061, 24897, 54087, 65351, 21705, 68296, 65101, 75213, 55887, 61009, 67410, 68308, 21589, 47829, 38105, 40026, 60762, 26076, 68061, 76125, 49631, 70754, 41446, 1642, 47723, 28396, 49130, 57324, 65131, 4853, 62583, 9979, 71549, 26366}"
48994,"{67330, 66947, 4874, 11662, 54419, 67347, 57494, 31898, 30620, 21661, 73631, 48161, 3362, 21539, 26276, 39333, 20007, 59946, 70187, 29356, 71979, 61234, 29235, 57910, 46137, 46138, 31678, 30916, 1862, 59334, 3017, 27980, 16205, 48204, 40655, 26071, 24539, 25440, 48994, 38246, 68455, 14699, 67563, 38637, 50034, 67447, 34936}"
34533,"{43267, 21764, 38533, 24710, 5127, 42247, 44294, 54663, 62474, 21005, 33297, 33938, 32019, 62999, 27416, 53273, 16539, 41756, 57117, 55456, 74912, 11170, 68643, 10404, 34724, 41766, 41768, 34601, 9899, 16684, 65453, 47022, 75950, 20656, 19123, 44596, 54323, 66102, 49725, 53437, 75453, 44611, 64580, 10825, 38602, 69709, 39760, 61520, 2007, 51419, 60636, 75359, 58852, 34533, 44264, 64745, 65256, 44524, 31981, 42747, 19325, 19326}"
36995,"{70149, 48653, 67087, 67088, 67105, 67109, 67110, 67111, 41513, 44, 37934, 37935, 31288, 41531, 73797, 73293, 20056, 52834, 34938, 53886, 36995, 6276, 49286, 75405, 70798, 40082, 64659, 25249, 59041, 31395, 54965, 39113, 57577, 60157, 67838, 43775, 66836, 51995, 40221, 3358, 49950, 41255, 3890, 49992, 22348, 14677, 40288, 56674, 54630, 54637, 20847, 6009, 64901, 73605, 24968, 67476, 8088, 28057, 40345, 36257, 14762, 42922, 63405, 30640, 34236, 52164, 52166, 57799, 45010, 64980, 64983, 31707, 55772, 57820, 58336, 25571, 76271}"
57580,"{9216, 27136, 47113, 19471, 14873, 17947, 2087, 21544, 49705, 68139, 49708, 68140, 68141, 68142, 68143, 49713, 68144, 68145, 72242, 36405, 57909, 13368, 70216, 48207, 49744, 10336, 10339, 10340, 10341, 43646, 60544, 13962, 42642, 21666, 13490, 3259, 11494, 57580, 13562, 45307, 35586, 65285, 41230, 76061, 46371, 36645, 47400, 58664, 54573, 54574, 68400, 45883, 9036, 6480, 10588, 43880, 32107, 71531, 75627, 18288, 56700, 21379, 23434, 1428, 75668, 68507, 75675, 68509, 71600, 71603, 37317, 20955, 75231, 60901, 37357, 37358, 37359, 37360, 49136, 61943}"
33127,"{41344, 45699, 24964, 55045, 47623, 71433, 33931, 38667, 21517, 38669, 39694, 47888, 56075, 24722, 9747, 30484, 46739, 49302, 56078, 60817, 68246, 73492, 70811, 68636, 15517, 13469, 62751, 30755, 30756, 39972, 46883, 12839, 55208, 68646, 55210, 4268, 14124, 55214, 55215, 6452, 64436, 55222, 72887, 31547, 20540, 55228, 65803, 62786, 66885, 67402, 22475, 23244, 75339, 65486, 25171, 9941, 19542, 20565, 43222, 47192, 25179, 34779, 72544, 54369, 17125, 65766, 33127, 54124, 57452, 1395, 34419, 58739, 14072, 4601}"
70790,"{25984, 641, 45957, 70790, 45959, 45321, 13453, 70159, 69648, 56598, 55196, 70814, 55199, 66208, 70560, 53027, 44586, 48683, 32941, 30639, 12467, 48948, 4406, 56630, 53560, 6844, 70205, 56510, 52415, 57920, 24900, 24901, 24904, 39752, 66378, 41549, 70096, 58066, 70098, 48981, 51670, 46680, 58072, 12251, 46687, 41827, 39016, 62184, 23018, 51435, 71148, 71021, 75760, 22129, 47221, 32121, 44794, 14459}"
48854,"{57474, 62339, 44548, 9991, 35083, 49419, 18829, 44430, 38291, 42003, 68245, 10263, 71960, 16794, 43035, 65694, 65057, 23458, 26403, 52390, 54951, 50474, 47407, 73906, 52659, 52277, 58549, 75061, 64314, 32702, 28990, 46400, 51138, 9283, 10819, 63810, 40006, 45514, 40140, 40524, 56012, 62925, 54096, 57680, 73719, 84, 48854, 68321, 35172, 41700, 747, 61676, 24558, 41455, 64496, 63477, 47862, 28791, 11515}"
59052,"{21376, 73729, 37777, 59415, 45464, 64793, 72599, 39336, 59052, 38701, 72109, 49711, 45872, 60218, 60219, 60220, 60221, 67645, 58697, 53579, 37325, 66127, 37203, 54869, 25688, 36187, 56417, 74472, 34415, 73969, 57208, 15993, 33146, 70139, 28540}"
27933,"{46466, 30469, 10505, 45835, 49548, 57230, 3220, 36244, 52116, 51863, 61466, 2461, 27933, 62500, 71973, 20390, 68396, 4275, 42935, 73787, 73918, 17728, 3905, 3906, 3907, 3908, 3525, 3909, 4934, 44867, 76229, 42954, 60235, 10573, 32724, 62687, 2154, 6767, 15215, 10355, 6260, 69621, 45820}"
211,"{4740, 26122, 33292, 45201, 56981, 7064, 16921, 4890, 22687, 68004, 32421, 38569, 15021, 56366, 56500, 2486, 25654, 5562, 24507, 7227, 51390, 23488, 45376, 68035, 56265, 73296, 211, 5334, 36054, 31193, 73340, 2148, 9445, 45797, 68456, 61033, 20204, 49005, 31217, 60018, 66035, 4852, 13172, 30070, 54775, 64885, 37756, 12797}"
