ID,Ball,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
9325,"{6913, 8450, 8701, 9603, 6918, 8077, 6542, 8078, 8333, 6801, 8334, 9107, 8212, 9360, 9619, 7577, 7579, 9215, 9117, 7582, 9598, 7587, 9638, 6698, 7730, 8755, 9395, 6837, 9528, 7098, 6714, 6972, 8250, 9658, 7489, 6210, 6850, 7107, 7881, 9673, 9680, 6993, 6354, 9683, 6102, 6746, 9690, 7390, 7519, 7648, 8289, 6370, 8163, 9058, 9445, 9698, 6888, 8168, 8681, 9323, 8172, 7149, 9197, 9325, 9326, 8820, 7541, 9332, 8443, 8189, 8958, 7551}",,,,,,,,,,
21859,"{22401, 22913, 19973, 19974, 22790, 22408, 22918, 22410, 19852, 22796, 22925, 22934, 20005, 21418, 21674, 20402, 21426, 20020, 22580, 20406, 22908, 20028, 20543, 22847, 22848, 21826, 19907, 19911, 22730, 19915, 22734, 19665, 19667, 20692, 22867, 19670, 22868, 21848, 21594, 20315, 20059, 22749, 21342, 22882, 19555, 21859, 20069, 22885, 20587, 22508, 22892, 20462, 20079, 20463, 22897, 22898, 22900, 22903, 22905, 20602, 21884, 22909, 22911}",,,,,,,,,,
21341,"{20106, 22666, 22669, 22670, 20116, 22932, 22047, 21419, 22571, 22572, 22573, 20410, 21697, 19653, 19909, 19658, 19660, 19661, 19663, 19664, 20561, 20057, 21466, 20314, 21341, 20584}",,,,,,,,,,
14157,"{14465, 13447, 14347, 14475, 14476, 12943, 13716, 13977, 12702, 12831, 14503, 13736, 13610, 12845, 13102, 14127, 14511, 13110, 14135, 14397, 14270, 14271, 13644, 14157, 14285, 13903, 14415, 13653, 13655, 13785, 13914, 13916, 13790, 13918, 13282, 13796, 14309, 13673, 12394, 12395, 14057, 14315, 14445, 14320, 14450, 14452, 14580, 13049, 13052, 14333, 14590}",,,,,,,,,,
20527,"{22917, 19975, 21128, 22409, 20110, 20494, 21396, 21653, 21142, 22804, 22681, 22809, 22683, 21414, 22566, 20014, 20399, 20400, 20527, 22832, 22833, 20405, 19510, 20026, 21690, 22586, 19902, 20926, 20032, 22462, 19651, 19652, 22724, 19654, 19655, 19656, 19657, 22725, 19659, 22729, 21709, 22731, 22862, 22738, 22357, 22743, 22488, 20313, 20058, 22871, 22878, 20576, 22883, 21610, 20460, 21876}",,,,,,,,,,
22838,"{21378, 19716, 22404, 20488, 20495, 22543, 20497, 20501, 22549, 22051, 20521, 19754, 21166, 22574, 22577, 21685, 21686, 22837, 22838, 22457, 21435, 19644, 22463, 22464, 22851, 22596, 22597, 21831, 21834, 19707, 20317, 22751, 20577, 22764, 19950, 20335, 19952, 22901, 20087, 20091}",,,,,,,,,,
8063,"{6403, 8581, 9224, 9225, 8591, 9105, 9620, 9114, 9372, 7069, 7070, 6818, 9471, 9636, 6821, 6823, 7079, 9001, 6314, 9003, 7468, 7469, 9640, 9136, 9650, 9139, 9656, 9662, 9666, 7365, 9287, 9672, 9290, 8401, 9426, 8276, 8788, 8789, 9303, 9306, 8439, 9051, 9437, 9691, 8440, 9185, 8548, 6117, 7526, 8549, 8568, 7785, 8041, 9191, 6511, 6514, 6515, 8050, 8181, 7542, 7543, 7544, 8572, 8063}",,,,,,,,,,
21444,"{18177, 18758, 18759, 18216, 18665, 18186, 18666, 18190, 18226, 18515, 18617, 18750}",,,,,,,,,,
22548,"{22914, 20357, 20358, 19979, 19725, 22542, 22802, 22547, 22548, 22931, 22679, 19866, 22682, 19742, 20511, 20646, 22057, 22059, 22061, 21554, 22578, 22579, 22582, 22584, 20537, 22459, 22460, 22461, 22846, 22721, 22852, 21446, 21959, 22872, 22874, 22876, 22877, 22753, 22765, 20723, 21108, 21373}",,,,,,,,,,
22060,"{18657, 18306, 18307, 18180, 18600, 18121, 18762, 18541, 18286, 18255, 18351, 18704, 18737, 18740, 18678, 18679, 18175}",,,,,,,,,,
19675,"{18721, 18466, 18468, 18310, 18662, 18799, 18160, 18450, 18451, 18582, 18103, 18711, 18463}",,,,,,,,,,
11958,"{13313, 13444, 13322, 14474, 14606, 14612, 13091, 14123, 13743, 13744, 14258, 12853, 13111, 13113, 14280, 14154, 13899, 14156, 13902, 13650, 13907, 13652, 13784, 13658, 13789, 13278, 13151, 13279, 13023, 13666, 13920, 12389, 13285, 12391, 14566, 14314, 13292, 14446, 14575, 14321, 14578, 14324, 14326, 13306}",,,,,,,,,,
19683,"{18656, 18722, 18467, 18659, 18660, 18719, 18349, 18801, 18205, 18462, 18271}",,,,,,,,,,
31796,"{30343, 28043, 29196, 29707, 30094, 30583, 29456, 30098, 32658, 30356, 30357, 30740, 30871, 32532, 28825, 28826, 31513, 29212, 29981, 30110, 32798, 32802, 29478, 32811, 31536, 32432, 31796, 31541, 31542, 32952, 28475, 32959, 31172, 30021, 32966, 29384, 29385, 32712, 32714, 32979, 30044, 32605, 32659, 32735, 29924, 30309, 30054, 31208, 32916, 32764, 33004, 30065, 32498, 29815, 32252}",,,,,,,,,,
9220,"{9220, 7431, 9611, 9103, 6416, 9362, 9110, 8088, 7321, 8219, 7326, 6820, 5797, 5798, 9382, 7337, 9644, 7981, 9655, 8632, 6970, 9661, 7363, 9667, 8263, 6731, 7756, 5840, 7761, 6996, 9048, 8538, 7516, 8159, 9441, 8162, 9317, 8038, 8428, 8047, 8048, 7793, 7925, 6390, 7931, 9086}",,,,,,,,,,
21639,"{18336, 18337, 18497, 18308, 18250, 18317, 18352, 18546, 18195, 18229, 18422, 18583, 18584, 18683, 18108, 18206}",,,,,,,,,,
9424,"{6022, 8585, 8586, 8587, 8596, 8597, 8598, 8599, 6040, 9492, 9379, 5796, 9381, 6826, 6829, 9140, 9141, 9144, 6340, 7364, 9424, 9425, 9301, 8793, 9305, 8795, 8796, 9308, 8798, 8799, 9439, 8806, 8807, 8808, 8951, 7921, 8438, 8567, 8570, 8699}",,,,,,,,,,
20100,"{20100, 21636, 22919, 21644, 20624, 20636, 22044, 22305, 21670, 21545, 21432, 21440, 21072, 21713, 19922, 22865, 22866, 22487, 21081, 22491, 21596, 21852, 22492, 20323, 19689, 19690, 22505, 21488, 21106, 20600, 20348, 22525, 20606, 22527}",,,,,,,,,,
29559,"{29445, 30348, 31884, 29454, 30097, 30739, 31507, 30613, 29462, 30359, 30358, 30361, 30234, 30745, 30748, 31000, 32282, 32922, 32681, 31794, 31797, 28215, 31173, 31174, 32453, 30540, 30798, 32209, 30037, 32086, 28121, 32731, 30302, 32787, 32660, 30306, 29160, 30061, 29806, 31216}",,,,,,,,,,
32106,"{31360, 29189, 30603, 28055, 29467, 28960, 30113, 29222, 29097, 31402, 31403, 31530, 29102, 31791, 29364, 29111, 29754, 31547, 29245, 31682, 31555, 32727, 28249, 29915, 32604, 28001, 28002, 32099, 32354, 32101, 32102, 32484, 28654, 28655, 30448, 32248}",,,,,,,,,,
29099,"{29184, 32000, 28806, 32647, 30604, 28301, 30732, 30993, 31508, 30998, 29466, 31007, 29098, 29099, 31532, 29357, 32426, 32815, 32435, 30901, 30902, 28089, 28997, 30150, 31175, 30920, 31176, 32197, 31947, 31949, 30158, 30926, 32465, 32849, 27987, 31828, 29399, 30936, 30298, 28516, 31204, 31206, 31209, 30068, 30325, 30968, 32249, 30845, 32511}",,,,,,,,,,
28125,"{29825, 30340, 28810, 30349, 29198, 32913, 30354, 29459, 30355, 30101, 28311, 32280, 28828, 30751, 32680, 29355, 28845, 31533, 31795, 29750, 30778, 32571, 29759, 28096, 30783, 31942, 29258, 32087, 30041, 31833, 30555, 31068, 28125, 32253, 31714, 31716, 30949, 31975, 29418, 28780, 29167, 32879, 29938, 29939, 31219, 30333, 30334}",,,,,,,,,,
19933,"{19968, 20480, 21635, 19845, 20103, 22024, 22025, 21645, 19726, 20622, 22544, 22672, 21650, 22546, 20639, 22049, 22306, 22435, 22438, 22568, 21417, 19882, 21673, 21422, 22575, 21682, 21683, 21431, 22455, 22456, 19642, 21953, 21442, 22595, 21067, 21836, 21075, 21076, 22485, 21718, 20439, 22486, 21337, 22873, 21339, 21723, 19933, 21469, 22364, 22752, 21350, 21352, 20330, 22763, 20334, 20465, 21874, 19702, 20475}",,,,,,,,,,
6552,"{3392, 2881, 3459, 3460, 3461, 3531, 3084, 3596, 3292, 3096, 3129, 3130, 3164}",,,,,,,,,,
14085,"{14085, 14086, 14597, 13067, 13836, 13839, 13844, 13848, 12320, 13473, 12578, 13984, 13092, 13604, 12329, 12854, 13753, 13754, 13371, 12994, 14147, 14148, 14023, 14407, 12748, 13152, 14307, 14435, 12662, 12283, 14589, 12798}",,,,,,,,,,
