ID,Ball
3633,"{6913, 8450, 8701, 9603, 6918, 8077, 6542, 8078, 8333, 6801, 8334, 9107, 8212, 9360, 9619, 7577, 5786, 7579, 9215, 9117, 7582, 6945, 9598, 7587, 9638, 6698, 7730, 8755, 9395, 6837, 9528, 6714, 7098, 6972, 8250, 9658, 7489, 6210, 6850, 7107, 7873, 7881, 9673, 9680, 6993, 6354, 9683, 6102, 6746, 9690, 7390, 7519, 7648, 8289, 6370, 8163, 9058, 9445, 9698, 6888, 8168, 8681, 9323, 8172, 7149, 9197, 9325, 9326, 6387, 8820, 7541, 9332, 8443, 8189, 8958, 7551}"
21859,"{19973, 19974, 20005, 22567, 20020, 22580, 20022, 20028, 20543, 21594, 20059, 19555, 20069, 20587, 20079, 20602, 21674, 19633, 21700, 22730, 22734, 19665, 19666, 19667, 19668, 20692, 19670, 19672, 19674, 22749, 22766, 22790, 22796, 22847, 22848, 21826, 22867, 22868, 21848, 20315, 21342, 22882, 21859, 22885, 22889, 22892, 22897, 22898, 22900, 22903, 21880, 22905, 21884, 21885, 22908, 22909, 22911, 22401, 22913, 22918, 22408, 22410, 22411, 19852, 22924, 22925, 22934, 22941, 21418, 20401, 20402, 20403, 21426, 20406, 19907, 19911, 19914, 19915, 19936, 20450, 19940, 20458, 22508, 20462, 20463, 20464, 20472}"
21341,"{22912, 22916, 20106, 22666, 22794, 22669, 22670, 20116, 22932, 22047, 21543, 21419, 22443, 22571, 22572, 22573, 22701, 19506, 20410, 20924, 20029, 21697, 19906, 19653, 19909, 19399, 22726, 19658, 19660, 19661, 19663, 19664, 20561, 20562, 21843, 19797, 21464, 20057, 20314, 21466, 21341, 21086, 21858, 22886, 20584, 22777}"
14157,"{14465, 13447, 13323, 14347, 14475, 14476, 12943, 13716, 13977, 12702, 12831, 14503, 13736, 13610, 12845, 13102, 14127, 14511, 13110, 14135, 14397, 14270, 14271, 13644, 14157, 14285, 13903, 14415, 12371, 13653, 13655, 13785, 13914, 13916, 13790, 13918, 13282, 13796, 14309, 13673, 12394, 12395, 14057, 14315, 14445, 14320, 14450, 14452, 14580, 13049, 13050, 13052, 14333, 14590}"
20527,"{22917, 19975, 21128, 22409, 22791, 22920, 20110, 20494, 21396, 21653, 21142, 22804, 22681, 22809, 22683, 20508, 21414, 22566, 20014, 20399, 20400, 20527, 22832, 22833, 20405, 19510, 20026, 21690, 22586, 19902, 20926, 20032, 22462, 19651, 19652, 22724, 19654, 19655, 19656, 19657, 22725, 19659, 22729, 19917, 19662, 21709, 22608, 22731, 22738, 22862, 22357, 22743, 22488, 20313, 20058, 22871, 22878, 20576, 22883, 21610, 20460, 21356, 19951, 21876}"
22838,"{19713, 21378, 19716, 22404, 20488, 20493, 22798, 20495, 22543, 20113, 20497, 20501, 22549, 20119, 20000, 22051, 20521, 19754, 21166, 22574, 22577, 21685, 21686, 22837, 22838, 22457, 21435, 19644, 22463, 22464, 22851, 22596, 22597, 21831, 21834, 19707, 20441, 20317, 22751, 20577, 22764, 19950, 20335, 19952, 20590, 21364, 22901, 20087, 20091}"
8063,"{4963, 5573, 5127, 5257, 5275, 4941, 5278, 4879, 5615, 5721, 5277, 5657, 5211, 4893, 4894}"
21444,"{19712, 20482, 22915, 19717, 21381, 22405, 22792, 20638, 22436, 19750, 21542, 19900, 19645, 19901, 21444, 19781, 22727, 22737, 21846, 22747, 20444, 22748, 22366, 22750, 21856, 22754, 22884, 21861, 20459, 21357, 21485, 19953, 20338, 20596}"
22548,"{22914, 20357, 20358, 19979, 19725, 22542, 22802, 22547, 22548, 22931, 22679, 19866, 22682, 19742, 20511, 20646, 22057, 22059, 22061, 21554, 22578, 22579, 22582, 22584, 20537, 22459, 22460, 22461, 22846, 22721, 22852, 21446, 21959, 20049, 22872, 20697, 22874, 22876, 22877, 22753, 22765, 20723, 21108, 21747, 20599, 20344, 21373}"
22060,"{21376, 19457, 22402, 19972, 20101, 20484, 19976, 19089, 20114, 22930, 19733, 20504, 21403, 20124, 20520, 21676, 21677, 22060, 20015, 22316, 19762, 21687, 19640, 19899, 19643, 19647, 19648, 19649, 19650, 19904, 21824, 22355, 19924, 21844, 20310, 20312, 20316, 22365, 20446, 19939, 21482, 20588, 20461, 22893, 20592, 19825, 21875, 20469, 20601, 20863}"
19675,"{20107, 20108, 19597, 20498, 20404, 20407, 20024, 20541, 19905, 19908, 22602, 21707, 21711, 21460, 19669, 21461, 19671, 19673, 19675, 19676, 19677, 20318, 20319, 19680, 19679, 20445, 21343, 22363, 22881, 22888, 20466, 19958, 20086, 21366}"
14314,"{13313, 13444, 13322, 14474, 14606, 14612, 13091, 14123, 13741, 13743, 13744, 14258, 12853, 13111, 13113, 13127, 14280, 14154, 13899, 14156, 13902, 13650, 13907, 13652, 13784, 13658, 13789, 13278, 13151, 13279, 13023, 13666, 13920, 12389, 13285, 12391, 14566, 14314, 13292, 14446, 14575, 14321, 14578, 14324, 14326, 13306, 13308}"
19683,"{21345, 22403, 22407, 20490, 20132, 21413, 22312, 22570, 21675, 21421, 20027, 20539, 20542, 21829, 19910, 19916, 20046, 20047, 20320, 19681, 19682, 19683, 19684, 19685, 19686, 19687, 19688, 19941, 20321, 21484, 21872, 20337, 20594, 20467, 21748, 20470, 19963}"
31796,"{30343, 28043, 29196, 29707, 30094, 30583, 29456, 29714, 30098, 30356, 30357, 30740, 30871, 32532, 28825, 28826, 31513, 29212, 29981, 30110, 32798, 32802, 29478, 28201, 32811, 31536, 32432, 31796, 31541, 31542, 32952, 28475, 28349, 32959, 31172, 30021, 32966, 29384, 29385, 32712, 32714, 32979, 32658, 30044, 32605, 32659, 32735, 29924, 30309, 30054, 31208, 32916, 32764, 33004, 30065, 32498, 29815, 32252}"
9220,"{9220, 7431, 9611, 9103, 6416, 9362, 9110, 6168, 7321, 8088, 8219, 7326, 6820, 5797, 5798, 9382, 7337, 9644, 7981, 6830, 9655, 8632, 6970, 9661, 7363, 9667, 8263, 6731, 7756, 5840, 7761, 6996, 9048, 8538, 7516, 8159, 9441, 8162, 9317, 8038, 8428, 8047, 8048, 7793, 7925, 6390, 7031, 7931, 9086}"
21639,"{20353, 19844, 19718, 21639, 21131, 19724, 22027, 21646, 20607, 21648, 22811, 22558, 21665, 22307, 22058, 20525, 21552, 20411, 21956, 21830, 20551, 20040, 21449, 20555, 21068, 21840, 21970, 19923, 21459, 21080, 21465, 21720, 21721, 20060, 22360, 22616, 22875, 21473, 19556, 21358, 19696, 19954, 19699, 21362, 19830, 19959, 21878, 19705, 20346, 19710, 20095}"
9424,"{6022, 8585, 8586, 8587, 8596, 8597, 8598, 8599, 6040, 6041, 9492, 9379, 5796, 9381, 6951, 6825, 6826, 6827, 6829, 9140, 9141, 9144, 6340, 7364, 9424, 9425, 9301, 5976, 8793, 9305, 8795, 8796, 9308, 8798, 8799, 8672, 9439, 8806, 8807, 8808, 8951, 7921, 8438, 8567, 8570, 8699}"
