ID,Ball
9325,"{4448, 4418, 4420, 4421, 4011, 4460, 4557, 4716, 4625, 4018, 4626, 4052, 4053, 4627, 4568}"
21859,"{19973, 22790, 22408, 22796, 22924, 22925, 22934, 20005, 21418, 21674, 20402, 20020, 22580, 20406, 21826, 19907, 19911, 22730, 19915, 19665, 20692, 22868, 19670, 21594, 20315, 22749, 20450, 19555, 21859, 20069, 22882, 22508, 22892, 20462, 22897, 22903, 22908, 21885, 22911}"
21341,"{18400, 18464, 18657, 18309, 18661, 18222, 18354, 18355, 18102, 18524, 18717}"
14157,{13541}
20527,"{18338, 18307, 18469, 18182, 18597, 18312, 18727, 18541, 18290, 18578, 18228, 18101, 18421, 18551, 18610, 18460}"
22838,"{18218, 18731, 18221, 18189, 18258, 18547, 18164, 18358, 18200, 18684, 18399}"
8063,"{4963, 5573, 5127, 5257, 5275, 4941, 5278, 4879, 5615, 5657, 5721, 5277, 5561, 5211, 4893, 4894}"
21444,"{18177, 18617, 18341, 18758, 18759, 18216, 18665, 18186, 18571, 18666, 18190, 18226, 18515, 18137, 18750}"
22548,"{22914, 20357, 20358, 22533, 19979, 19725, 22542, 22802, 22547, 22548, 22931, 22679, 19866, 22682, 19742, 20511, 20128, 22050, 20646, 21159, 21672, 22057, 22059, 22061, 21554, 22578, 22579, 22834, 22582, 22583, 22584, 20537, 19897, 22459, 22460, 22461, 22846, 22721, 22722, 22852, 21446, 21959, 20683, 20049, 22872, 20697, 22874, 22876, 22877, 22753, 22765, 21487, 20723, 21108, 21747, 20342, 20599, 20344, 21373}"
21328,"{18306, 18180, 18704, 18600, 18219, 18351, 18737, 18740, 18107, 18372, 18121, 18762, 18255, 18286, 18673, 18291, 18678, 18679, 18175}"
21326,"{18310, 18450, 18451, 18582, 18711, 18463, 18720, 18721, 18466, 18468, 18347, 18356, 18103, 18104, 18106, 18235, 18621, 18237, 18658, 18662, 18799, 18160}"
11785,"{11697, 11723, 11785, 11775}"
21269,"{18656, 18722, 18467, 18659, 18660, 18719, 18184, 18185, 18764, 18349, 18801, 18741, 18233, 18234, 18205, 18462, 18271}"
29604,{29604}
9220,{8832}
21639,"{18336, 18337, 18497, 18308, 18250, 18352, 18546, 18195, 18229, 18422, 18583, 18584, 18683, 18108, 18206}"
3870,"{5251, 5731, 5672, 5713, 4882, 5141, 5434, 5084, 5309, 5727}"
20100,"{20100, 21636, 22919, 21644, 20624, 20636, 22044, 22305, 20899, 20900, 21670, 19881, 21545, 21432, 22587, 21439, 21440, 22723, 21966, 21072, 21713, 19922, 20051, 22865, 22866, 20438, 22487, 21081, 22361, 22491, 21596, 21852, 22492, 20323, 21860, 20070, 19689, 19690, 22505, 21106, 20598, 20600, 20348, 22525, 20606, 22527}"
30817,{30817}
30814,"{26912, 26859, 26579, 26517, 26518, 26878}"
29575,{29609}
30824,"{30824, 30825}"
18845,"{18304, 18697, 18324, 18709, 18328, 18723, 18478, 18486, 18138, 18267, 18142, 18143, 18144, 18158, 18544, 18162, 18292, 18677, 18298}"
5385,"{4898, 5282, 5383, 5384, 5385, 5326, 5071, 5170, 5588, 5111, 5435, 5148}"
13548,{13548}
18805,"{18432, 18433, 18560, 18435, 18314, 18315, 18480, 18624, 18241, 18625, 18500, 18501, 18126, 18129, 18130, 18139, 18140, 18671, 18170, 18171, 18172, 18431}"
13549,{13549}
29613,"{29649, 29613}"
5424,"{5033, 4906, 5516, 5197, 5424, 5585, 4979, 5244}"
18930,"{18176, 18562, 18179, 18181, 18696, 18703, 18193, 18332, 18217, 18098, 18232, 18489, 18761, 18379, 18125, 18770, 18519, 18277, 18793}"
8852,"{5441, 5379, 4899, 5606, 5036, 5679, 5684, 5685, 5238, 5335}"
18942,"{18178, 18245, 18246, 18790, 18416, 18353, 18481, 18482, 18643, 18293, 18294, 18426, 18270}"
15370,"{15046, 14921, 14992, 14865, 14873, 14878, 15039}"
8844,{8844}
11992,"{11992, 12099, 12191}"
5407,"{4449, 4419, 4440, 4229, 4780, 4749, 4624, 4017, 4050, 3966, 4563, 4786, 4376, 4124, 3998}"
18877,"{18628, 18630, 18346, 18795, 18320, 18322, 18323, 18418, 18620, 18710, 18494, 18105, 18746, 18619, 18428, 18429, 18430, 18335}"
31601,{31601}
18982,"{18913, 18914, 19075, 18982, 19078, 18986, 18892, 19086, 18932, 18936, 18909}"
19027,"{18436, 18437, 18440, 18187, 18326, 18199, 18599, 18739, 18100, 18240, 18756, 18631, 18632, 18763, 18132, 18518, 18266, 18779, 18274, 18275, 18796, 18797, 18425, 18687}"
5494,"{5454, 5168, 5683, 5494, 5661, 5023}"
18844,"{18273, 18146, 18148, 18149, 18566, 18736, 18099, 18329, 18334}"
5704,"{4513, 4838, 4455, 4839, 4553, 4525, 4653, 4847, 4369, 4402, 4853, 4854, 4826, 4475, 3996, 3935}"
5667,"{4929, 4930, 5667, 5508, 4901, 5330, 5723}"
4881,"{5601, 5158, 5350, 5352, 5479, 5708, 5613, 5070, 5423, 4881, 5553, 5714, 4885, 5117, 5247}"
5305,"{4326, 3978, 3979, 4537, 4650, 4652, 4851, 4182, 4856, 4281, 4282, 4731, 4732}"
11230,"{12021, 12157, 11932, 11941}"
18856,"{18694, 18441, 18198, 18585, 18207, 18208, 18592, 18595, 18725, 18730, 18227, 18748, 18110, 18495, 18374, 18119, 18375, 18517, 18776, 18141, 18403, 18285, 18165}"
8840,"{5154, 5701, 5733, 5223, 5161, 5226, 4911, 5076, 5332}"
11611,"{13571, 13555, 13556}"
27645,"{29481, 29557}"
19083,"{18342, 18726, 18477, 18484, 18360, 18367, 18117, 18247, 18380, 18385, 18263, 18780, 18653, 18652, 18781, 18412, 18676, 18295, 18552, 18557}"
11556,"{11520, 11556, 11461, 11533, 11278, 11279, 11486}"
8851,"{2914, 3273, 3786, 3627, 3628, 3053, 3375, 3377, 3761, 3701, 3671, 2936, 3260}"
13562,{13562}
18812,"{18496, 18369, 18783, 18151, 18317, 18350, 18384, 18357, 18751}"
