ID,azure,aqua,orange,beige,green,antiquewhite,bisque,blue,pink,blanchedalmond,black
18580,0,0,2,0,18,133,0,38,9,0,0
7730,0,0,2,0,15,80,0,20,19,0,0
18182,0,0,0,0,15,127,0,39,11,0,0
18177,0,0,0,0,12,86,0,28,2,0,0
8549,0,0,0,0,18,75,0,10,10,0,0
19682,0,0,0,0,13,73,0,34,5,0,0
18324,0,0,0,0,5,84,0,14,0,0,0
19844,0,0,0,0,9,57,0,19,0,0,0
8832,0,0,2,0,13,66,0,20,17,1,0
29496,0,2,0,6,14,76,0,18,13,1,0
20051,0,0,0,0,6,77,0,17,0,0,0
22834,0,0,0,0,6,100,0,18,0,0,0
31709,1,4,2,6,16,140,0,31,26,1,0
14475,0,8,1,1,8,55,5,11,10,3,0
22576,0,0,0,0,5,59,0,16,0,0,0
30302,0,1,2,4,10,72,0,14,9,0,0
3298,0,0,0,0,16,52,0,15,19,0,0
19784,0,0,0,0,4,75,0,28,0,0,0
21311,0,0,0,0,4,35,0,21,1,0,0
5251,0,0,0,0,13,53,0,17,15,0,0
5728,0,0,0,0,8,54,0,14,14,0,0
30998,0,1,1,4,12,156,0,25,30,0,0
7457,0,0,0,0,20,112,0,18,19,1,0
18986,0,0,0,0,12,92,0,23,3,0,0
4901,0,0,0,0,17,110,0,21,15,0,0
13267,0,9,5,5,13,53,9,10,9,2,0
32727,0,3,2,8,16,123,0,23,28,2,0
1484,3,59,0,14,0,168,0,0,32,0,0
32742,0,1,0,4,9,73,0,15,15,0,0
12277,0,16,1,9,24,105,22,24,26,1,0
5590,0,0,0,0,12,57,0,17,11,0,0
15951,0,7,3,6,22,62,28,11,28,1,0
31595,2,2,1,2,12,96,0,22,21,0,0
5030,0,0,0,0,22,73,0,17,24,0,0
4918,0,0,0,0,20,84,0,25,28,0,0
13096,0,3,0,7,11,49,4,10,11,0,0
14316,0,6,1,6,9,45,3,8,11,1,0
13038,0,3,1,7,12,54,7,7,14,1,0
22039,0,0,0,0,4,76,0,12,0,0,0
12382,0,3,0,5,14,63,11,13,16,1,0
13844,0,8,1,6,13,63,12,11,12,1,0
32235,0,1,3,4,10,76,0,15,11,1,0
13280,0,5,2,5,8,60,4,12,11,0,0
18881,0,0,0,0,10,82,0,38,12,0,0
24613,0,3,4,38,42,100,18,0,55,24,0
1993,0,23,24,0,11,166,0,0,0,0,19
27917,0,0,0,0,2,156,0,2,13,0,0
21731,0,0,0,0,16,127,0,34,2,0,0
27865,0,0,0,0,6,130,0,7,8,0,0
12526,0,3,0,9,16,67,7,17,21,0,0
6250,0,0,0,0,10,46,0,13,12,1,0
8651,0,0,0,0,12,71,0,19,18,1,0
21279,0,0,0,0,7,49,0,15,3,0,0
2872,0,0,0,0,31,126,0,36,37,1,0
8957,0,0,0,0,23,89,0,23,26,1,0
32766,0,0,2,10,28,242,0,31,39,0,0
26379,0,3,0,17,14,106,12,0,16,14,0
3169,0,0,0,0,12,47,0,14,16,0,0
12977,0,9,1,7,19,86,10,16,18,3,0
24279,0,0,0,24,15,102,13,0,32,14,0
6479,0,0,0,0,7,33,0,13,10,1,0
24320,0,2,1,31,21,145,20,0,41,32,0
5010,0,0,0,0,14,56,0,19,14,0,0
5661,0,0,0,0,11,71,0,12,14,0,0
5307,0,0,0,0,12,54,0,12,17,0,0
5813,0,0,0,0,13,52,0,16,13,1,0
6074,0,0,0,0,14,53,0,20,18,2,0
14128,0,6,0,10,13,63,6,14,9,1,0
19226,0,0,0,0,21,240,0,1,0,0,0
3449,0,0,0,0,17,54,0,21,21,0,0
12323,0,11,5,9,16,47,7,10,13,2,0
19629,0,0,0,0,11,142,0,0,0,0,0
12290,0,3,0,8,13,25,5,10,13,0,0
12198,0,1,0,8,10,51,6,9,12,2,0
5608,0,0,0,0,10,54,0,12,13,0,0
30994,0,2,2,5,13,90,0,17,16,0,0
5022,0,0,0,0,10,30,0,11,12,0,0
28267,3,2,0,1,10,72,0,18,20,1,0
7072,0,0,0,0,11,65,0,16,17,2,0
32203,0,1,0,4,10,65,0,15,10,0,0
12991,0,10,6,14,18,66,15,12,24,1,0
26426,0,3,0,7,9,75,6,0,17,9,0
3735,0,0,0,0,26,78,0,24,25,0,0
16045,0,5,1,5,12,41,12,12,17,3,0
14304,0,10,3,5,11,44,12,11,14,3,0
17395,51,35,0,0,0,154,0,0,4,0,0
16773,0,3,1,8,15,59,14,9,17,2,0
29242,0,7,2,5,17,137,0,29,34,1,0
1649,0,1,5,0,3,67,0,0,0,0,23
3149,0,0,0,0,19,86,0,16,16,0,0
30042,0,5,0,2,8,97,0,19,14,0,0
28937,0,1,1,3,11,58,0,21,14,0,0
12890,0,6,2,3,7,78,7,1,6,0,0
12460,0,3,0,6,8,19,3,8,7,0,0
20623,0,0,0,0,8,73,0,19,0,0,0
31673,0,3,0,2,12,56,0,19,11,0,0
26337,0,2,0,20,15,87,0,0,22,24,0
2967,0,0,0,0,7,45,0,10,9,0,0
8103,0,0,0,0,19,92,0,27,27,3,0
6195,0,0,0,0,22,104,0,19,37,2,0
16509,0,5,0,5,14,39,16,9,15,4,0
1405,6,24,2,4,0,76,0,0,10,0,0
29689,2,5,0,1,10,61,0,13,17,0,0
19342,0,0,0,0,12,163,0,25,0,0,0
30927,0,1,0,2,9,39,0,8,3,0,0
3474,0,0,0,0,18,76,0,24,19,0,0
12566,0,4,6,6,9,37,7,6,10,0,0
30762,2,6,0,2,11,102,0,16,18,0,0
28994,0,1,2,2,7,48,0,13,8,0,0
13224,0,2,0,4,16,42,10,15,14,0,0
2315,0,3,8,0,2,58,0,0,0,0,24
18834,0,0,0,0,6,71,0,29,13,0,0
16109,0,18,6,13,23,75,23,14,29,2,0
13508,0,17,1,11,28,110,18,20,44,4,0
374,6,27,0,7,0,142,0,0,10,0,0
21058,0,0,0,0,9,161,0,12,0,0,0
5043,0,0,0,0,9,49,0,9,12,0,0
24848,0,0,5,21,8,71,10,0,22,9,0
5323,0,0,0,0,16,79,0,19,20,0,0
5533,0,0,0,0,11,98,0,13,16,0,0
30818,0,6,1,0,2,104,0,4,0,0,0
16112,0,12,0,0,7,63,7,0,16,12,0
28134,1,5,0,1,10,43,0,16,13,0,0
3456,0,0,0,0,14,38,0,15,15,0,0
12564,0,7,0,6,11,39,13,3,13,0,0
21284,0,0,0,0,11,116,0,35,1,0,0
14082,0,10,1,2,14,35,12,10,12,0,0
23916,0,0,1,16,7,47,4,0,10,11,0
13457,0,6,0,5,10,58,10,10,9,1,0
8834,0,0,0,0,10,28,0,6,9,1,0
15555,0,3,3,10,13,80,15,0,18,4,0
5404,0,0,0,0,7,46,0,11,12,0,0
24588,0,1,3,13,13,84,9,0,21,12,0
24731,0,0,0,14,10,46,21,1,23,10,0
12256,0,9,0,9,17,35,12,14,12,0,0
30016,0,0,0,1,4,47,0,8,10,0,0
355,7,19,0,8,0,78,0,0,9,0,0
12786,0,0,0,7,9,53,8,9,11,1,0
19069,0,0,0,0,6,98,0,15,5,0,0
5067,0,0,0,0,14,55,0,12,18,0,0
27671,0,0,0,0,8,59,0,10,15,0,0
22254,0,0,0,0,7,157,0,0,0,0,0
1726,0,5,11,0,0,76,0,0,0,0,12
24239,0,0,0,7,7,61,7,0,18,20,0
15754,0,11,4,10,17,63,17,7,23,0,0
18051,8,8,0,0,0,79,4,0,1,0,0
4042,0,0,0,0,10,92,0,11,14,0,0
10979,0,4,1,7,11,55,14,6,17,0,0
13946,1,15,0,2,5,50,4,0,7,0,0
17177,3,9,0,0,0,99,0,0,5,0,0
4523,0,0,0,0,8,61,0,6,12,0,0
25249,0,0,0,16,10,100,0,0,11,12,0
11136,0,10,1,3,5,29,7,5,9,0,0
11301,7,9,0,1,3,57,3,0,5,0,0
11123,0,4,0,10,6,41,10,4,8,0,0
11134,0,8,0,6,11,37,13,11,16,0,0
27078,0,3,0,2,6,48,0,8,8,0,0
27795,0,0,0,0,4,106,0,0,17,0,0
4601,0,0,0,0,11,42,0,13,14,0,0
27452,0,2,0,1,5,50,0,8,10,0,0
4183,0,0,0,0,6,32,0,6,6,0,0
8843,0,0,0,0,14,32,0,11,14,2,0
4416,0,0,0,0,7,33,0,12,15,0,0
11039,0,5,3,4,7,28,9,4,11,0,0
27306,0,0,0,0,3,83,0,1,8,0,0
18733,0,0,0,0,2,50,0,15,1,0,0
25924,0,1,1,8,7,38,5,0,9,12,0
848,4,11,0,5,0,73,0,0,7,0,0
15787,0,11,6,12,7,41,15,5,13,0,0
27192,0,0,0,6,4,93,0,5,7,0,0
29631,0,5,0,0,0,105,0,4,0,0,0
14866,0,7,4,3,4,54,5,0,5,3,0
1914,0,8,12,0,0,60,0,0,0,0,10
1907,0,10,6,0,1,76,0,0,0,0,5
24092,0,0,10,11,5,44,1,0,8,1,0
26450,0,2,0,6,4,60,5,1,8,12,0
4276,0,0,0,0,13,34,0,12,11,0,0
27403,0,0,0,0,4,62,0,5,12,0,0
11349,0,2,0,0,5,62,5,4,9,0,0
24083,0,0,0,13,4,52,3,0,14,13,0
27583,0,0,0,0,2,61,0,6,10,0,0
23612,0,0,0,20,6,67,1,0,9,15,0
15006,0,1,3,11,4,73,9,0,5,0,0
1909,0,5,0,0,1,104,0,0,0,0,5
27267,0,0,0,0,2,86,0,2,1,0,0
18743,0,0,0,0,0,72,0,2,0,0,0
17142,16,12,0,0,0,78,0,0,2,0,0
27410,0,0,0,0,3,50,0,3,8,0,0
17161,10,9,0,0,0,116,0,0,0,0,0
10882,0,5,0,2,5,15,8,2,2,0,0
14871,2,7,2,8,1,71,5,0,13,0,0
4304,0,0,0,0,4,42,0,6,7,0,0
23728,0,0,0,19,2,58,0,0,11,15,0
22137,0,0,0,0,2,76,0,1,1,0,0
27145,0,0,0,4,1,61,0,4,7,0,0
4804,0,0,0,0,9,54,0,6,8,0,0
3938,0,0,0,0,4,43,0,9,8,0,0
112,0,11,0,10,0,63,0,0,7,0,0
21903,0,0,0,0,0,103,0,0,0,0,0
545,3,12,0,3,0,56,0,0,4,0,0
27102,0,0,0,0,2,68,0,3,3,0,0
14902,0,7,6,6,1,49,2,0,5,0,0
25626,0,0,0,2,0,57,0,0,8,10,0
454,2,9,0,2,0,81,0,0,11,0,0
1390,0,5,0,0,0,61,3,0,2,0,0
17055,2,9,0,0,0,71,0,0,0,0,0
15230,0,1,3,3,2,62,2,0,0,0,0
1869,0,7,0,0,0,67,0,0,0,0,0
27254,0,0,0,0,0,56,0,2,1,0,0
4518,0,0,0,0,7,73,0,9,13,0,0
17132,10,9,0,0,0,72,0,0,0,0,0
16980,4,5,0,0,0,71,0,0,0,0,0
22937,0,0,0,0,0,63,0,0,0,0,0
25676,0,1,0,4,5,39,4,0,6,7,0
1502,0,8,5,0,0,65,0,0,3,0,4
20961,0,0,0,0,0,65,0,0,0,0,0
23281,0,0,0,8,3,20,0,0,6,12,0
29492,0,0,0,1,1,31,0,2,0,0,0
29670,0,6,0,0,0,68,0,0,0,0,0
15349,0,0,0,5,0,87,1,0,3,0,0
17059,12,7,1,0,0,43,0,0,0,0,0
1903,0,1,7,0,0,26,0,0,0,0,7
21938,0,0,0,0,0,36,0,0,0,0,0
1897,0,1,0,0,0,48,0,0,0,0,0
28672,0,0,0,0,0,43,0,0,5,0,0
27118,0,0,0,0,2,78,0,2,0,0,0
23300,0,0,0,4,0,24,0,0,3,2,0
22857,0,0,0,0,0,30,0,0,0,0,0
27137,0,0,0,0,1,33,0,1,3,0,0
12105,8,13,0,2,0,40,4,0,5,0,0
27205,0,0,0,0,0,48,0,2,4,0,0
27188,0,0,0,0,1,51,0,1,6,0,0
4105,0,0,0,0,3,57,0,5,3,0,0
29225,0,0,0,0,0,11,0,0,0,0,0
1307,0,0,0,0,0,1,0,0,0,0,0
31813,0,0,0,0,0,21,0,0,0,0,0
19227,0,0,0,0,0,17,0,0,0,0,0
24728,0,0,0,0,0,5,0,0,0,0,0
32653,0,0,0,0,0,8,0,0,0,0,0
2566,0,1,0,0,0,1,0,0,0,0,0
26836,0,0,0,0,0,17,0,0,3,0,0
22445,0,0,0,0,0,24,0,0,0,0,0
16458,0,0,0,0,0,6,0,0,0,0,0
2817,0,1,1,0,0,37,0,0,0,0,0
17866,2,3,0,0,0,16,0,0,0,0,0
28068,0,0,0,0,0,15,0,0,0,0,0
12998,0,0,0,0,1,8,0,0,0,0,0
18032,4,2,0,0,0,12,0,0,0,0,0
1174,0,2,0,1,0,35,0,0,3,0,0
32988,0,0,0,0,0,7,0,0,0,0,0
24523,0,0,0,4,1,20,0,0,8,7,0
32334,0,0,0,0,0,6,0,0,0,0,0
898,2,3,0,0,0,18,0,0,0,0,0
17270,0,6,0,0,0,10,0,0,0,0,0
2046,0,0,2,0,0,53,0,0,0,0,3
22337,0,0,0,0,0,6,0,0,0,0,0
22935,0,0,0,0,0,25,0,0,0,0,0
7738,0,0,0,0,0,13,0,0,0,0,0
29884,0,0,0,0,0,1,0,0,0,0,0
25895,0,0,0,2,0,27,0,0,3,6,0
18018,0,6,0,0,0,14,0,0,0,0,0
995,0,5,0,2,0,22,0,0,2,0,0
16891,0,5,0,0,0,49,3,0,2,0,0
1491,3,0,0,2,0,7,0,0,0,0,0
31388,0,0,0,0,0,18,0,0,2,0,0
15655,0,0,0,1,0,9,1,0,0,0,0
31113,0,0,0,0,0,42,0,0,0,0,0
