ID,azure,aqua,orange,beige,green,antiquewhite,bisque,blue,pink,blanchedalmond,black
20406,0,0,0.01613,0,0.08065,1,0,0.20968,0.04839,0,0
22701,0,0,0.02273,0,0.11364,1,0,0.22727,0.09091,0,0
7730,0,0,0.02703,0,0.17568,1,0,0.2027,0.18919,0,0
22883,0,0,0,0,0.06122,1,0,0.16327,0.06122,0,0
18516,0,0,0,0,0.17241,1,0,0.51724,0.10345,0,0
19648,0,0,0,0,0.18367,1,0,0.38776,0.10204,0,0
20338,0,0,0,0,0.14754,1,0,0.34426,0,0,0
21343,0,0,0,0,0.21053,1,0,0.39474,0.02632,0,0
19041,0,0,0,0,0.16129,1,0,0.3871,0.12903,0,0
5211,0,0,0,0,0.16923,1,0,0.13846,0.13846,0,0
5668,0,0,0,0,0.33333,1,0,0.61905,0.61905,0,0
20490,0,0,0,0,0.15789,1,0,0.44737,0.07895,0,0
18324,0,0,0,0,0.05714,1,0,0.18571,0,0,0
19844,0,0,0,0,0.15385,1,0,0.34615,0,0,0
21427,0,0,0,0,0.07595,1,0,0.25316,0,0,0
5797,0,0,0.03704,0,0.16667,1,0,0.22222,0.25926,0.01852,0
27005,0,0.01493,0,0.0597,0.1791,1,0,0.19403,0.13433,0.01493,0
20051,0,0,0,0,0.06667,1,0,0.2,0,0,0
22834,0,0,0,0,0.05747,1,0,0.17241,0,0,0
31709,0,0.06452,0,0.03226,0.06452,1,0,0.06452,0.16129,0,0
14475,0,0.10638,0.02128,0.02128,0.10638,1,0.06383,0.17021,0.12766,0.06383,0
18294,0,0,0,0,0.08511,1,0,0.25532,0,0,0
4838,0,0,0,0,0.2,1,0,0.36,0.2,0,0
30302,0,0.01754,0.03509,0.05263,0.14035,1,0,0.14035,0.12281,0,0
31607,0.02941,0.02941,0.05882,0.02941,0.11765,1,0,0.23529,0.23529,0.02941,0
11775,0,0.11111,0.02222,0.04444,0.13333,1,0.08889,0.2,0.17778,0,0
20442,0,0,0,0,0.19512,1,0,0.43902,0.02439,0,0
