ID,azure,aqua,orange,beige,green,antiquewhite,bisque,blue,pink,blanchedalmond,black
20406,0,0,1,0,5,62,0,13,3,0,0
22701,0,0,1,0,5,44,0,10,4,0,0
7730,0,0,2,0,13,74,0,15,14,0,0
22883,0,0,0,0,3,49,0,8,3,0,0
18516,0,0,0,0,5,29,0,15,3,0,0
19648,0,0,0,0,9,49,0,19,5,0,0
20338,0,0,0,0,9,61,0,21,0,0,0
21343,0,0,0,0,8,38,0,15,1,0,0
19041,0,0,0,0,5,31,0,12,4,0,0
5211,0,0,0,0,11,65,0,9,9,0,0
5668,0,0,0,0,7,21,0,13,13,0,0
20490,0,0,0,0,6,38,0,17,3,0,0
18324,0,0,0,0,4,70,0,13,0,0,0
19844,0,0,0,0,8,52,0,18,0,0,0
21427,0,0,0,0,6,79,0,20,0,0,0
5797,0,0,2,0,9,54,0,12,14,1,0
27005,0,1,0,4,12,67,0,13,9,1,0
20051,0,0,0,0,4,60,0,12,0,0,0
22834,0,0,0,0,5,87,0,15,0,0,0
31709,0,2,0,1,2,31,0,2,5,0,0
14475,0,5,1,1,5,47,3,8,6,3,0
18294,0,0,0,0,4,47,0,12,0,0,0
4838,0,0,0,0,5,25,0,9,5,0,0
30302,0,1,2,3,8,57,0,8,7,0,0
31607,1,1,2,1,4,34,0,8,8,1,0
11775,0,5,1,2,6,45,4,9,8,0,0
20442,0,0,0,0,8,41,0,18,1,0,0
29169,0,0,0,2,4,37,0,10,5,0,0
8175,0,0,0,0,15,47,0,12,14,0,0
18315,0,0,0,0,1,26,0,8,0,0,0
18429,0,0,0,0,3,51,0,20,0,0,0
19755,0,0,0,0,4,36,0,20,1,0,0
5434,0,0,0,0,9,36,0,4,2,0,0
18867,0,0,0,0,2,19,0,6,0,0,0
8081,0,0,0,0,8,44,0,14,13,0,0
4361,0,0,0,0,9,25,0,13,11,0,0
30998,0,1,0,3,6,65,0,10,6,0,0
21070,0,0,0,0,3,32,0,16,0,0,0
26909,0,1,0,1,5,34,0,11,8,0,0
7457,0,0,0,0,4,51,0,5,10,1,0
22600,0,0,0,0,7,51,0,9,1,0,0
2886,0,0,0,0,6,51,0,9,6,0,0
10489,0,6,5,4,9,50,8,6,5,2,0
18479,0,0,0,0,2,40,0,11,1,0,0
22645,0,0,0,0,4,25,0,7,0,0,0
18165,0,0,0,0,2,22,0,11,0,0,0
10253,0,0,0,1,2,21,2,2,3,1,0
27878,0,0,0,2,4,26,0,8,3,0,0
32727,0,2,1,5,11,74,0,13,20,2,0
1484,1,32,0,7,0,77,0,0,16,0,0
6379,0,0,0,0,10,45,0,13,10,0,0
32742,0,1,0,2,3,39,0,6,6,0,0
12277,0,3,0,3,8,45,7,7,7,0,0
6658,0,0,0,0,13,62,0,19,12,0,0
15166,0,5,2,1,6,18,10,4,7,1,0
32987,2,0,0,0,4,30,0,7,4,0,0
4597,0,0,0,0,14,53,0,11,18,0,0
9634,0,0,0,0,7,41,0,11,9,0,0
19962,0,0,0,0,4,30,0,11,0,0,0
21865,0,0,0,0,6,28,0,8,2,0,0
8436,0,0,0,0,10,50,0,11,6,0,0
13096,0,2,0,4,8,41,3,7,8,0,0
11728,0,4,1,6,6,33,2,7,8,0,0
18697,0,0,0,0,1,29,0,4,0,0,0
30083,0,0,0,2,4,20,0,3,6,0,0
14635,0,1,1,4,5,23,6,6,8,0,0
9116,0,0,0,0,7,35,0,9,8,0,0
10413,0,2,1,4,6,38,4,4,7,0,0
28588,0,1,1,0,5,32,0,8,8,0,0
12382,0,2,0,4,11,48,8,10,8,1,0
13844,0,8,1,6,14,66,13,12,12,1,0
18881,0,0,0,0,7,52,0,21,7,0,0
29646,0,1,1,0,4,30,0,8,5,1,0
4496,0,0,0,0,9,46,0,15,11,1,0
11723,0,3,1,3,5,18,2,4,5,0,0
24120,0,3,2,7,12,33,5,0,16,7,0
4430,0,0,0,0,16,42,0,13,13,0,0
1993,0,16,16,0,7,94,0,0,0,0,11
6478,0,0,0,0,5,29,0,4,4,0,0
31410,0,0,0,0,2,156,0,2,13,0,0
21731,0,0,0,0,4,44,0,13,1,0,0
3856,0,0,0,0,7,33,0,8,12,0,0
18389,0,0,0,0,7,57,0,18,3,0,0
22676,0,0,0,0,4,67,0,12,0,0,0
29135,0,0,0,0,6,134,0,7,7,0,0
12526,0,1,0,4,9,40,4,9,12,0,0
4678,0,0,0,0,9,44,0,13,9,1,0
20545,0,0,0,0,4,41,0,9,2,0,0
18644,0,0,0,0,6,58,0,22,7,0,0
10538,0,7,0,2,9,29,4,5,6,1,0
5148,0,0,0,0,9,23,0,7,7,0,0
3063,0,0,0,0,11,58,0,15,16,1,0
30285,0,0,2,5,7,48,0,11,5,0,0
29728,0,1,0,2,3,24,0,5,4,0,0
6209,0,0,0,0,8,26,0,7,8,0,0
10525,0,4,1,4,7,41,6,8,9,1,0
6107,0,0,0,0,7,30,0,11,5,0,0
8957,0,0,0,0,21,88,0,22,28,1,0
4313,0,0,0,0,11,16,0,14,10,0,0
27497,0,0,0,5,10,66,0,8,11,0,0
6459,0,0,0,0,6,26,0,10,9,0,0
4309,0,0,0,0,9,26,0,7,6,0,0
26379,0,3,0,14,13,79,8,0,14,9,0
1743,0,5,6,0,4,58,0,0,0,0,7
4970,0,0,0,0,8,26,0,8,9,0,0
30746,0,1,0,2,4,37,0,10,7,0,0
19051,0,0,0,0,4,12,0,9,0,0,0
14318,0,6,0,11,15,65,5,17,10,0,0
12977,0,7,0,4,12,63,6,10,11,1,0
23815,0,0,0,15,10,60,11,0,22,8,0
15561,0,1,0,4,11,16,15,7,15,1,0
23058,0,1,1,6,8,43,5,0,16,11,0
9311,0,0,0,0,9,40,0,12,6,0,0
21634,0,0,0,0,4,47,0,14,0,0,0
3839,0,0,0,0,7,53,0,7,10,0,0
4818,0,0,0,0,10,30,0,12,10,1,0
32311,0,0,0,2,3,28,0,6,7,0,0
7370,0,0,0,0,7,33,0,9,11,0,0
