ID,azure,aqua,orange,beige,green,antiquewhite,bisque,blue,pink,blanchedalmond,black
9508,0,0,0.02778,0,0.18056,1,0,0.20833,0.20833,0,0
21674,0,0,0.0098,0,0.12745,1,0,0.27451,0.04902,0,0
20561,0,0,0.01587,0,0.09524,1,0,0.22222,0.09524,0,0
22462,0,0,0,0,0.13433,1,0,0.32836,0.0597,0,0
19781,0,0,0,0,0.16129,1,0,0.45161,0,0,0
22549,0,0,0,0,0.12195,1,0,0.26829,0.04878,0,0
13680,0,0.09091,0.01818,0.05455,0.10909,1,0.05455,0.16364,0.12727,0.05455,0
9225,0,0,0,0,0.22059,1,0,0.14706,0.16176,0,0
13292,0,0.11111,0.03704,0.07407,0.12963,1,0.11111,0.22222,0.22222,0,0
20539,0,0,0,0,0.10811,1,0,0.40541,0.05405,0,0
9220,0,0,0.04762,0,0.09524,1,0,0.14286,0.19048,0.02381,0
22578,0,0,0,0,0.05357,1,0,0.14286,0,0,0
30044,0,0.01493,0,0.0597,0.13433,1,0,0.1791,0.10448,0.01493,0
21552,0,0,0,0,0.18421,1,0,0.31579,0,0,0
21670,0,0,0,0,0.08108,1,0,0.16216,0,0,0
19726,0,0,0,0,0.05376,1,0,0.2043,0,0,0
29375,0,0.03226,0,0.04839,0.1129,1,0,0.25806,0.24194,0,0
19692,0,0,0,0,0.1,1,0,0.26,0,0,0
7364,0,0,0,0,0.17949,1,0,0.15385,0.15385,0,0
30798,0,0.03846,0.03846,0.03846,0.13462,1,0,0.15385,0.13462,0,0
30355,0.01667,0.01667,0.03333,0.01667,0.1,1,0,0.15,0.13333,0.01667,0
19639,0,0,0,0,0.17143,1,0,0.45714,0.02857,0,0
22845,0,0,0,0,0.06383,1,0,0.23404,0,0,0
31175,0,0.01587,0,0.04762,0.07937,1,0,0.15873,0.11111,0,0
8694,0,0,0,0,0.32353,1,0,0.41176,0.47059,0,0
5704,0,0,0,0,0.225,1,0,0.375,0.3,0,0
19980,0,0,0,0,0.17391,1,0,0.78261,0,0,0
14335,0,0.05882,0.02941,0.11765,0.14706,1,0.08824,0.05882,0.14706,0,0
6058,0,0,0,0,0.13793,1,0,0.10345,0.18966,0.01724,0
9586,0,0,0,0,0.125,1,0,0.14286,0.07143,0,0
9574,0,0,0,0,0.27083,1,0,0.27083,0.375,0,0
22772,0,0,0,0,0.14493,1,0,0.2029,0.04348,0,0
14291,0,0.11364,0.11364,0.09091,0.20455,1,0.13636,0.15909,0.13636,0.04545,0
21483,0,0,0,0,0.07692,1,0,0.38462,0,0,0
8397,0,0,0,0,0.375,1,0,0.5625,0.4375,0,0
6858,0,0,0,0,0.34211,1,0,0.28947,0.31579,0,0
31791,0,0.03333,0.01111,0.07778,0.15556,1,0,0.18889,0.25556,0.02222,0
22598,0,0,0,0,0.04918,1,0,0.22951,0.01639,0,0
14444,0,0.04444,0,0.08889,0.2,1,0.08889,0.17778,0.24444,0,0
29757,0,0.01852,0,0.07407,0.07407,1,0,0.16667,0.12963,0,0
16047,0,0.08696,0.04348,0.08696,0.26087,1,0.21739,0.26087,0.30435,0.04348,0
13067,0,0.11864,0.01695,0.08475,0.20339,1,0.16949,0.16949,0.18644,0,0
1190,0.01031,0.42268,0,0.1134,0,1,0,0,0.20619,0,0
31214,0.05,0,0,0,0.125,1,0,0.2,0.175,0,0
6878,0,0,0,0,0.2,1,0,0.22857,0.2,0,0
13001,0,0.02439,0,0.09756,0.17073,1,0.09756,0.21951,0.29268,0,0
7563,0,0,0,0,0.10417,1,0,0.0625,0.10417,0,0
12851,0,0.08824,0.02941,0.08824,0.17647,1,0.05882,0.20588,0.23529,0.02941,0
6295,0,0,0,0,0.16327,1,0,0.22449,0.20408,0,0
20711,0,0,0,0,0.17647,1,0,0.23529,0,0,0
19834,0,0,0,0,0.06667,1,0,0.43333,0,0,0
12925,0,0.11111,0.02222,0.04444,0.2,1,0.15556,0.2,0.2,0.02222,0
9446,0,0,0,0,0.18,1,0,0.26,0.18,0,0
7502,0,0,0,0,0.14815,1,0,0.25926,0.25926,0.01852,0
20890,0,0,0,0,0.10345,1,0,0.24138,0.03448,0,0
30873,0,0,0.03448,0.08621,0.12069,1,0,0.22414,0.10345,0,0
7012,0,0,0,0,0.18367,1,0,0.2449,0.16327,0,0
15946,0,0.1875,0.125,0.1875,0.5625,1,0.8125,0.25,0.8125,0,0
7966,0,0,0,0,0.22222,1,0,0.48148,0.33333,0,0
29773,0,0.025,0.025,0.075,0.15,1,0,0.4,0.25,0,0
28482,0,0,0,0,0.01429,1,0,0.01429,0.09286,0,0
25512,0,0.02941,0,0.16667,0.13725,1,0.11765,0,0.15686,0.12745,0
9093,0,0,0,0,0.23913,1,0,0.23913,0.26087,0,0
20712,0,0,0,0,0.05405,1,0,0.16216,0,0,0
7032,0,0,0,0,0.18966,1,0,0.25862,0.25862,0,0
7454,0,0,0,0,0.19697,1,0,0.24242,0.19697,0,0
28085,0.03279,0.03279,0,0.01639,0.08197,1,0,0.19672,0.22951,0.01639,0
19426,0,0,0,0,0.07937,1,0,0.39683,0.14286,0,0
1536,0,0.16327,0.16327,0,0.07143,1,0,0,0,0,0.11224
30257,0,0.025,0.05,0.05,0.2,1,0,0.25,0.25,0.025,0
6338,0,0,0,0,0.24138,1,0,0.24138,0.24138,0.03448,0
24863,0,0.075,0.05,0.325,0.475,1,0.125,0,0.575,0.3,0
13661,0,0.25,0,0.20833,0.375,1,0.125,0.25,0.25,0,0
7402,0,0,0,0,0.11111,1,0,0.25,0.16667,0.02778,0
20025,0,0,0,0,0.13462,1,0,0.25,0.05769,0,0
9461,0,0,0,0,0.21569,1,0,0.2549,0.33333,0,0
30626,0,0,0,0,0.04615,1,0,0.05385,0.06154,0,0
6980,0,0,0,0,0.26667,1,0,0.4,0.4,0,0
26258,0,0.04,0,0.09333,0.10667,1,0.08,0,0.2,0.10667,0
13343,0,0.12121,0,0.09091,0.21212,1,0.12121,0.18182,0.27273,0,0
20356,0,0,0,0,0.13043,1,0,0.41304,0.1087,0,0
12222,0,0.09091,0,0.22727,0.36364,1,0.18182,0.27273,0.40909,0.04545,0
32177,0,0,0,0.03846,0.12821,1,0,0.12821,0.14103,0,0
12288,0,0.01961,0,0.15686,0.19608,1,0.11765,0.17647,0.21569,0.03922,0
12933,0,0.04255,0,0.04255,0.23404,1,0.10638,0.19149,0.17021,0.02128,0
13148,0,0.125,0.01389,0.06944,0.22222,1,0.125,0.20833,0.20833,0.02778,0
32054,0.02857,0.02857,0.02857,0,0.25714,1,0,0.37143,0.37143,0,0
2685,0,0.01389,0.06944,0,0.04167,1,0,0,0,0,0.34722
7024,0,0,0,0,0.09333,1,0,0.14667,0.14667,0,0
8527,0,0,0,0,0.19298,1,0,0.15789,0.35088,0.01754,0
13659,0,0.10294,0,0.16176,0.25,1,0.11765,0.25,0.17647,0.01471,0
9687,0,0,0,0,0.27027,1,0,0.32432,0.35135,0,0
25157,0,0.02532,0.01266,0.20253,0.18987,1,0.13924,0,0.36709,0.22785,0
5817,0,0,0,0,0.1875,1,0,0.20833,0.22917,0,0
6111,0,0,0,0,0.24706,1,0,0.24706,0.31765,0.01176,0
6124,0,0,0,0,0.35714,1,0,0.25,0.39286,0,0
509,0.0274,0.23288,0,0.08219,0,1,0,0,0.09589,0,0
8277,0,0,0,0,0.25581,1,0,0.37209,0.30233,0.02326,0
2795,0,0.05263,0.14035,0,0.03509,1,0,0,0,0,0.40351
6637,0,0,0,0,0.12121,1,0,0.21212,0.30303,0.0303,0
7078,0,0,0,0,0.18919,1,0,0.16216,0.21622,0,0
8786,0,0,0,0,0.14286,1,0,0.18367,0.18367,0,0
16904,0,0.11111,0,0.11111,0.25926,1,0.40741,0.22222,0.25926,0.07407,0
17243,0.26087,0.15217,0,0,0,1,0,0,0.04348,0,0
5823,0,0,0,0,0.225,1,0,0.3,0.275,0,0
12929,0,0.07143,0.01429,0.04286,0.1,1,0.1,0.01429,0.08571,0,0
14176,0,0.14815,0.11111,0.18519,0.22222,1,0.2037,0.16667,0.35185,0.01852,0
14453,0,0.25926,0.03704,0.14815,0.18519,1,0.2963,0.25926,0.2963,0.07407,0
28052,0,0.05085,0,0.0339,0.11864,1,0,0.23729,0.16949,0,0
7479,0,0,0,0,0.23256,1,0,0.19767,0.2093,0,0
26198,0,0.02532,0,0.25316,0.17722,1,0,0,0.27848,0.29114,0
21951,0,0,0,0,0.14706,1,0,0.29412,0,0,0
6759,0,0,0,0,0.52941,1,0,0.82353,0.52941,0,0
19512,0,0,0,0,0.10638,1,0,0.01064,0,0,0
12485,0,0.13636,0,0.22727,0.45455,1,0.18182,0.36364,0.45455,0,0
512,0.07692,0.30769,0.02564,0.05128,0,1,0,0,0.12821,0,0
31554,0,0.05,0.025,0.075,0.175,1,0,0.275,0.325,0,0
28350,0,0.02,0,0.06,0.12,1,0,0.22,0.12,0,0
19251,0,0,0,0,0.08088,1,0,0,0,0,0
8717,0,0,0,0,0.24242,1,0,0.36364,0.27273,0,0
25204,0,0,0,0.25926,0.2037,1,0.22222,0,0.40741,0.12963,0
28573,0,0,0.02174,0.02174,0.08696,1,0,0.17391,0.17391,0,0
31089,0,0.05769,0.00962,0,0.01923,1,0,0.03846,0,0,0
30994,0,0.01667,0.01667,0.06667,0.11667,1,0,0.16667,0.13333,0,0
16813,0,0.08571,0.02857,0.08571,0.25714,1,0.28571,0.28571,0.34286,0.08571,0
6640,0,0,0,0,0.3913,1,0,0.47826,0.3913,0,0
12323,0,0.23684,0.13158,0.18421,0.31579,1,0.18421,0.18421,0.26316,0.05263,0
2377,0,0.11111,0.13333,0,0.06667,1,0,0,0,0,0.13333
31438,0,0,0,0.06742,0.04494,1,0,0.05618,0.06742,0,0
12626,0,0.24,0.12,0.12,0.28,1,0.16,0.16,0.4,0.04,0
32900,0,0.02564,0,0.05128,0.17949,1,0,0.23077,0.12821,0,0
14301,0,0.06667,0.13333,0.16667,0.23333,1,0.2,0.1,0.3,0,0
9007,0,0,0,0,0.36111,1,0,0.38889,0.41667,0,0
15945,0,0.08,0.04,0.08,0.28,1,0.32,0.12,0.4,0.04,0
29075,0,0,0.04,0.04,0.08,1,0,0.18,0.16,0,0
25076,0,0,0.06667,0.35556,0.13333,1,0.15556,0,0.4,0.15556,0
1807,0,0.13208,0.07547,0,0.01887,1,0,0,0,0,0.07547
8582,0,0,0,0,0.375,1,0,0.375,0.375,0,0
21692,0,0,0,0,0.08511,1,0,0.21277,0,0,0
495,0.08955,0.26866,0,0.10448,0,1,0,0,0.1194,0,0
19346,0,0,0,0,0.09677,1,0,0.1828,0,0,0
13800,0,0.13636,0,0.18182,0.45455,1,0.18182,0.45455,0.77273,0,0
7979,0,0,0,0,0.33333,1,0,0.375,0.29167,0,0
8817,0,0,0,0,0.14815,1,0,0.18519,0.18519,0,0
17217,0.39286,0.30952,0,0,0,1,0,0,0.02381,0,0
29682,0.01235,0.06173,0,0.01235,0.09877,1,0,0.14815,0.18519,0,0
16773,0,0.04,0,0.12,0.2,1,0.18,0.12,0.18,0.04,0
24660,0,0,0,0.30769,0.20513,1,0.20513,0,0.33333,0.20513,0
8641,0,0,0,0,0.20635,1,0,0.30159,0.28571,0.01587,0
7461,0,0,0,0,0.23077,1,0,0.33333,0.35897,0.02564,0
15555,0,0.02128,0.02128,0.14894,0.21277,1,0.23404,0,0.2766,0.02128,0
24266,0,0,0.02564,0.28205,0.12821,1,0.10256,0,0.25641,0.23077,0
29823,0.03704,0.09259,0,0.01852,0.18519,1,0,0.22222,0.31481,0,0
6302,0,0,0,0,0.10256,1,0,0.11538,0.14103,0,0
13081,0,0.08696,0,0.13043,0.43478,1,0.17391,0.34783,0.3913,0.04348,0
6643,0,0,0,0,0.26829,1,0,0.31707,0.34146,0,0
27999,0,0.04444,0,0.04444,0.2,1,0,0.28889,0.22222,0,0
32314,0,0,0,0.07143,0.01786,1,0,0.05357,0.125,0,0
30670,0,0,0,0,0.03448,1,0,0.01149,0.10345,0,0
13869,0,0.02941,0,0,0.07353,1,0.07353,0.05882,0.13235,0,0
28172,0,0,0,0,0.04167,1,0,0.04167,0.08333,0,0
18878,0,0,0,0,0.13793,1,0,0.31034,0,0,0
6927,0,0,0,0,0.2,1,0,0.35,0.2,0,0
7484,0,0,0,0,0.25532,1,0,0.2766,0.29787,0,0
1153,0.01887,0.16981,0,0.01887,0,1,0,0,0.07547,0,0
12439,0,0.0625,0,0.09375,0.40625,1,0.1875,0.40625,0.4375,0,0
32816,0,0,0.02128,0.04255,0.17021,1,0,0.23404,0.14894,0,0
19992,0,0,0,0,0.08333,1,0,0.30556,0.02778,0,0
30737,0.03125,0.15625,0,0.03125,0.25,1,0,0.375,0.25,0,0
1727,0,0.07576,0.10606,0,0,1,0,0,0,0,0.18182
21058,0,0,0,0,0.09,1,0,0.11,0,0,0
4550,0,0,0,0,0.2,1,0,0.35,0.2,0,0
27527,0.01351,0.01351,0,0.02703,0.16216,1,0,0.18919,0.16216,0,0
4701,0,0,0,0,0.15217,1,0,0.26087,0.28261,0,0
18075,0.19298,0.14035,0,0,0,1,0,0,0.03509,0,0
1659,0,0.16,0.24,0,0,1,0,0,0,0,0.18
29192,0,0,0,0,0.04494,1,0,0,0.14607,0,0
16076,0,0.17241,0,0,0.12069,1,0.12069,0,0.27586,0.2069,0
10820,0,0.19444,0.02778,0.11111,0.27778,1,0.19444,0.22222,0.36111,0.02778,0
4035,0,0,0,0,0.32,1,0,0.32,0.28,0,0
18392,0,0,0,0,0,1,0,0.5,0.075,0,0
22432,0,0,0,0,0.08333,1,0,0,0,0,0
10973,0,0.1087,0,0.08696,0.17391,1,0.17391,0.13043,0.19565,0.02174,0
4473,0,0,0,0,0.2,1,0,0.24,0.28,0,0
27275,0,0.01923,0,0.03846,0.09615,1,0,0.21154,0.21154,0,0
10854,0,0.31579,0.05263,0.05263,0.42105,1,0.31579,0.31579,0.36842,0,0
27539,0.02941,0.08824,0,0,0.23529,1,0,0.20588,0.17647,0,0
15715,0,0.2,0.1,0.225,0.325,1,0.35,0.2,0.4,0.05,0
4593,0,0,0,0,0.35,1,0,0.3,0.325,0,0
4742,0,0,0,0,0.42308,1,0,0.34615,0.42308,0,0
27266,0,0,0,0.08824,0.29412,1,0,0.35294,0.11765,0,0
11049,0,0.4,0,0.16,0.36,1,0.36,0.32,0.32,0,0
11136,0,0.34483,0.03448,0.10345,0.17241,1,0.24138,0.17241,0.27586,0,0
18503,0,0,0,0,0.12766,1,0,0.53191,0.25532,0,0
18664,0,0,0,0,0.11538,1,0,0.30769,0.01923,0,0
27085,0,0,0,0.04082,0.14286,1,0,0.18367,0.20408,0,0
27524,0,0,0,0.05455,0.10909,1,0,0.05455,0.10909,0,0
27406,0,0,0,0,0.02857,1,0,0.04286,0.05714,0,0
4342,0,0,0,0,0.25926,1,0,0.22222,0.33333,0,0
199,0.05,0.31667,0,0.06667,0,1,0,0,0.2,0,0
3990,0,0,0,0,0.18868,1,0,0.26415,0.26415,0,0
11837,0.01818,0.30909,0,0.03636,0.09091,1,0.07273,0,0.12727,0,0
11893,0,0.15909,0,0.13636,0.27273,1,0.31818,0.09091,0.34091,0,0
4204,0,0,0,0,0.33333,1,0,0.38889,0.5,0,0
22120,0,0,0,0,0.08621,1,0,0,0,0,0
15408,0,0.12903,0.06452,0.12903,0.03226,1,0.16129,0,0.32258,0,0
29597,0,0.06452,0.03226,0.03226,0.16129,1,0,0.29032,0.25806,0,0
11845,0,0.1,0,0.15,0.3,1,0.2,0.3,0.55,0.1,0
24239,0,0,0,0.11111,0.11111,1,0.11111,0,0.28571,0.33333,0
4710,0,0,0,0,0.08889,1,0,0.15556,0.15556,0,0
