ID,Ball
9508,"{6913, 8450, 8701, 9603, 6918, 8077, 6542, 8078, 8333, 6801, 8334, 9107, 8212, 9360, 9619, 7577, 7579, 9215, 9117, 7582, 9598, 7587, 9638, 6698, 7730, 8755, 9395, 6837, 9528, 7098, 6714, 6972, 8250, 9658, 7489, 6210, 6850, 7107, 7881, 9673, 9680, 6993, 6354, 9683, 6102, 6746, 9690, 7390, 7519, 7648, 8289, 6370, 8163, 9058, 9445, 9698, 6888, 8168, 8681, 9323, 8172, 7149, 9197, 9325, 9326, 8820, 7541, 9332, 8443, 8189, 8958, 7551}"
21674,"{19973, 19974, 20005, 22567, 20020, 22580, 20028, 20543, 20562, 21594, 20059, 19555, 20069, 20587, 20079, 20602, 20107, 19597, 22669, 20116, 21674, 19633, 21700, 22730, 22734, 19664, 19665, 19666, 19667, 20692, 19668, 19669, 19670, 19671, 19672, 19673, 19674, 22749, 22766, 22790, 22796, 22847, 22848, 21826, 22867, 22868, 21848, 20315, 20318, 21342, 21343, 22881, 22882, 21859, 22885, 22888, 22889, 22892, 22897, 22898, 22900, 22903, 21880, 22905, 21884, 21885, 22908, 22909, 22911, 22401, 22913, 22918, 22408, 22410, 22411, 19852, 22924, 22925, 22934, 22941, 21418, 20402, 20403, 21426, 20406, 20924, 19907, 19908, 19911, 19914, 19915, 21461, 20445, 19936, 20450, 19940, 20458, 22508, 20462, 20463, 20464, 20472}"
20561,"{22912, 22916, 22917, 19975, 21128, 22791, 20106, 22666, 22794, 22920, 22670, 22932, 21142, 20508, 22047, 22566, 21543, 21419, 22443, 22571, 22572, 22573, 20400, 20401, 22701, 22729, 20405, 20026, 20410, 20029, 19902, 20032, 21697, 19906, 19653, 19909, 19399, 22726, 19657, 19658, 19659, 19660, 19661, 19662, 19663, 19917, 20561, 21709, 21843, 21464, 20057, 20314, 21466, 22488, 21341, 21086, 22878, 20576, 21858, 22886, 20584, 21610, 22777}"
22462,"{18306, 18307, 18182, 18312, 18704, 18578, 18679, 18460, 18469, 18597, 18600, 18351, 18737, 18101, 18255, 18524, 18657, 18541, 18290, 18421, 18678, 18551}"
19781,"{18177, 18758, 18759, 18216, 18665, 18186, 18571, 18666, 18731, 18190, 18226, 18515, 18617, 18750}"
22549,"{21378, 19716, 22404, 20488, 22798, 20495, 22543, 20501, 22549, 20504, 21403, 22051, 20521, 19754, 22574, 22577, 21685, 21686, 22837, 22838, 22457, 19644, 22463, 22464, 22851, 22596, 22597, 21831, 21834, 19707, 20317, 22751, 20577, 22764, 21485, 19950, 20335, 19952, 22901, 20087, 20091}"
13680,"{14465, 13447, 14347, 14348, 14475, 14476, 12943, 13716, 13977, 12702, 12831, 14503, 13736, 13610, 12845, 13102, 13103, 14127, 14511, 13619, 13110, 14135, 14397, 14270, 14271, 13644, 14157, 14285, 13903, 14415, 14416, 13653, 13655, 13785, 13914, 13916, 13790, 13918, 13282, 14309, 13673, 12394, 12395, 14057, 14315, 13294, 14445, 14320, 14450, 14452, 14580, 13049, 13052, 14333, 14590}"
9225,"{6403, 8581, 9224, 8585, 9225, 8591, 9105, 9620, 9114, 9372, 7069, 7070, 6818, 6819, 9471, 6821, 9636, 6823, 7079, 5801, 6314, 9001, 7468, 7469, 9003, 9640, 9136, 9650, 9139, 9656, 9278, 9662, 9666, 7365, 9287, 9672, 9290, 8401, 9426, 8276, 8788, 8789, 9303, 9306, 8439, 9051, 9437, 9691, 8440, 9185, 8548, 6117, 7526, 8549, 8568, 7785, 8041, 9191, 6511, 6514, 6515, 8050, 8181, 7542, 7543, 7544, 8572, 8063}"
13292,"{13313, 13444, 13322, 14474, 13068, 13326, 14606, 14612, 13091, 12458, 14123, 13741, 13743, 13744, 14258, 12853, 13111, 13113, 13127, 14280, 14154, 13899, 14156, 13902, 13137, 13650, 13907, 12500, 13652, 13784, 13658, 13789, 13278, 13151, 13280, 13279, 13023, 13666, 13920, 12389, 13285, 12391, 13671, 14566, 14314, 13292, 14446, 14575, 14321, 14578, 14324, 14326, 13306, 13308}"
20539,"{18721, 18466, 18467, 18659, 18660, 18310, 18722, 18349, 18799, 18801, 18450, 18451, 18205, 18462, 18271}"
9220,"{9220, 7431, 9103, 6416, 9362, 9110, 8219, 7326, 6820, 5797, 5798, 9382, 7337, 9644, 7981, 9655, 8632, 9661, 7363, 9667, 8263, 6731, 7756, 5840, 7761, 6996, 9048, 8538, 7516, 8159, 9441, 8162, 9317, 8038, 8428, 8047, 8048, 7793, 7925, 6390, 7931, 9086}"
22578,"{20608, 22914, 20357, 20358, 22533, 19979, 19725, 22542, 22802, 22547, 22548, 22931, 22679, 19866, 22682, 19742, 20511, 22050, 20646, 22057, 22059, 22061, 21554, 22578, 22579, 22834, 22582, 22583, 22584, 20537, 22459, 22460, 22461, 22846, 22721, 22722, 22852, 21446, 21959, 20683, 20049, 21974, 21592, 22872, 22874, 22876, 22877, 22880, 22753, 22765, 20477, 20723, 21108, 21747, 20342, 21373}"
30044,"{30338, 30343, 28043, 29196, 29707, 30094, 30583, 29456, 29714, 30098, 30356, 30357, 30740, 30871, 30744, 28825, 28826, 30235, 29212, 29981, 30110, 31513, 28064, 32798, 32802, 28198, 29478, 28201, 32811, 29358, 31536, 32432, 31796, 31541, 31542, 32952, 28475, 29372, 28349, 32959, 31172, 30021, 32966, 29127, 29384, 29385, 32712, 32714, 32979, 32658, 30044, 32532, 32605, 32659, 32735, 29924, 30309, 30054, 31208, 32916, 32764, 33004, 30065, 31218, 32498, 29815, 32252}"
21552,"{18337, 18497, 18308, 18250, 18546, 18195, 18229, 18583, 18584, 18683, 18108, 18206}"
21670,"{20100, 21636, 22919, 21644, 20624, 20636, 22044, 22305, 21670, 21545, 21432, 21439, 19776, 21440, 21072, 21713, 19922, 20051, 22865, 22866, 22487, 21081, 22491, 21596, 21852, 22492, 20323, 19689, 19690, 22505, 21488, 21106, 20600, 20348, 22525, 20606, 22527}"
19726,"{19968, 20480, 22022, 22024, 22025, 22028, 22544, 22546, 22046, 22049, 22568, 21547, 22575, 21559, 22595, 21067, 21075, 20585, 20609, 20610, 21635, 21638, 20103, 20620, 20109, 20622, 21645, 22672, 22673, 21650, 21652, 21654, 20639, 21671, 21673, 21681, 21682, 21683, 19642, 21715, 21718, 21723, 22752, 22763, 19693, 19697, 19702, 19706, 19726, 19746, 22306, 21836, 21337, 22873, 21339, 22364, 21346, 21349, 21350, 20327, 21352, 20330, 20331, 20334, 21874, 21883, 22435, 22438, 21417, 19882, 21422, 21423, 21429, 21431, 22455, 22456, 19386, 21946, 21948, 21952, 21953, 21442, 22485, 22486, 19927, 20439, 22489, 19932, 19933, 20465, 20468, 20474, 20475}"
