ID,azure,aqua,orange,beige,green,antiquewhite,bisque,blue,pink,blanchedalmond,black
6698,0,0,0,0,0.15625,1,0,0.21875,0.21875,0,0
18814,0,0,0,0,0.10714,1,0,0.25,0.07143,0,0
22870,0,0,0.01923,0,0.09615,1,0,0.25,0.05769,0,0
18826,0,0,0,0,0.1383,1,0,0.34043,0.09574,0,0
18804,0,0,0,0,0.2,1,0,0.42857,0,0,0
18866,0,0,0,0,0.1,1,0,0.24,0.04,0,0
11844,0,0.09434,0.01887,0.0566,0.11321,1,0.0566,0.11321,0.13208,0.01887,0
5278,0,0,0,0,0.26471,1,0,0.17647,0.16176,0,0
11785,0,0.09091,0.02273,0.04545,0.11364,1,0.09091,0.20455,0.18182,0,0
18957,0,0,0,0,0.12727,1,0,0.41818,0.07273,0,0
2931,0,0,0,0,0.14815,1,0,0.14815,0.22222,0.03704,0
18908,0,0,0,0,0.06061,1,0,0.16667,0,0,0
29604,0,0.02941,0,0.08824,0.17647,1,0,0.29412,0.11765,0,0
18824,0,0,0,0,0.17391,1,0,0.34783,0,0,0
18835,0,0,0,0,0.09259,1,0,0.2037,0,0,0
18324,0,0,0,0,0.05941,1,0,0.21782,0,0,0
29613,0,0.03175,0,0.04762,0.09524,1,0,0.22222,0.20635,0,0
18836,0,0,0,0,0.06818,1,0,0.26136,0,0,0
3870,0,0,0,0,0.18367,1,0,0.16327,0.14286,0,0
29647,0,0.01639,0.03279,0.04918,0.13115,1,0,0.14754,0.11475,0,0
31607,0.03125,0.03125,0,0.03125,0.125,1,0,0.21875,0.15625,0,0
19639,0,0,0,0,0.23913,1,0,0.5,0.02174,0,0
18294,0,0,0,0,0.06452,1,0,0.29032,0,0,0
31175,0,0.01667,0,0.03333,0.06667,1,0,0.15,0.1,0,0
4017,0,0,0,0,0.32432,1,0,0.43243,0.45946,0,0
4853,0,0,0,0,0.16393,1,0,0.2623,0.22951,0,0
18425,0,0,0,0,0.10417,1,0,0.58333,0.02083,0,0
10930,0,0.04348,0.04348,0.08696,0.21739,1,0.08696,0.08696,0.17391,0,0
4538,0,0,0,0,0.09677,1,0,0.12903,0.22581,0,0
3914,0,0,0,0,0.11594,1,0,0.14493,0.10145,0,0
4503,0,0,0,0,0.30909,1,0,0.25455,0.32727,0,0
18505,0,0,0,0,0.15584,1,0,0.19481,0.05195,0,0
13694,0,0.12,0.08,0.06,0.22,1,0.16,0.14,0.14,0.04,0
18320,0,0,0,0,0.08571,1,0,0.4,0,0,0
4182,0,0,0,0,0.45,1,0,0.7,0.6,0,0
4739,0,0,0,0,0.39216,1,0,0.29412,0.27451,0,0
27263,0,0.01695,0.01695,0.0339,0.10169,1,0,0.16949,0.20339,0.0339,0
18457,0,0,0,0,0.05747,1,0,0.22989,0.02299,0,0
10836,0,0.04762,0,0.09524,0.19048,1,0.07143,0.16667,0.21429,0,0
27103,0,0.01961,0,0.03922,0.13725,1,0,0.13725,0.17647,0,0
15711,0,0.07407,0,0.07407,0.22222,1,0.18519,0.22222,0.25926,0.03704,0
11108,0,0.125,0.02083,0.0625,0.20833,1,0.1875,0.14583,0.1875,0,0
556,0.01316,0.40789,0,0.10526,0,1,0,0,0.22368,0,0
31595,0.05,0.025,0,0,0.15,1,0,0.225,0.25,0,0
4179,0,0,0,0,0.2,1,0,0.25,0.2,0,0
11198,0,0.02632,0,0.10526,0.21053,1,0.07895,0.15789,0.28947,0,0
7563,0,0,0,0,0.12903,1,0,0.09677,0.12903,0,0
10911,0,0.15385,0.02564,0.10256,0.23077,1,0.10256,0.25641,0.23077,0.02564,0
4263,0,0,0,0,0.20588,1,0,0.27941,0.20588,0,0
18350,0,0,0,0,0.15385,1,0,0.34615,0,0,0
18198,0,0,0,0,0.11111,1,0,0.44444,0,0,0
12925,0,0.10526,0.02632,0.05263,0.15789,1,0.18421,0.15789,0.23684,0.02632,0
4187,0,0,0,0,0.21277,1,0,0.29787,0.21277,0,0
4808,0,0,0,0,0.25,1,0,0.36111,0.44444,0,0
18787,0,0,0,0,0.13043,1,0,0.26087,0.02899,0,0
27461,0,0,0.06383,0.08511,0.14894,1,0,0.19149,0.10638,0,0
4102,0,0,0,0,0.18367,1,0,0.22449,0.14286,0,0
15755,0,0.1875,0.125,0.1875,0.625,1,0.875,0.1875,0.75,0,0
3940,0,0,0,0,0.26667,1,0,0.4,0.26667,0,0
27073,0,0.02381,0,0.04762,0.16667,1,0,0.38095,0.2381,0,0
28482,0,0,0,0,0.01307,1,0,0.01307,0.08497,0,0
25750,0,0.0297,0,0.15842,0.13861,1,0.10891,0,0.15842,0.11881,0
4430,0,0,0,0,0.35526,1,0,0.32895,0.36842,0,0
18772,0,0,0,0,0.05208,1,0,0.16667,0,0,0
4284,0,0,0,0,0.21053,1,0,0.2807,0.29825,0,0
4619,0,0,0,0,0.2029,1,0,0.26087,0.21739,0,0
31606,0.02222,0.02222,0,0.02222,0.06667,1,0,0.17778,0.15556,0.02222,0
18342,0,0,0,0,0.09859,1,0,0.42254,0.15493,0,0
1536,0,0.125,0.125,0,0.0625,1,0,0,0,0,0.125
27876,0,0.02632,0.05263,0.05263,0.15789,1,0,0.23684,0.23684,0.02632,0
5154,0,0,0,0,0.55556,1,0,0.44444,0.44444,0,0
23844,0,0.07317,0.04878,0.2439,0.43902,1,0.12195,0,0.53659,0.19512,0
10463,0,0.23077,0,0.15385,0.30769,1,0.11538,0.23077,0.19231,0,0
5557,0,0,0,0,0.2963,1,0,0.2963,0.22222,0,0
18389,0,0,0,0,0.15517,1,0,0.34483,0.05172,0,0
4757,0,0,0,0,0.2037,1,0,0.22222,0.27778,0,0
27374,0,0,0,0,0.04225,1,0,0.0493,0.05634,0,0
4796,0,0,0,0,0.3125,1,0,0.40625,0.375,0,0
25693,0,0.04412,0,0.08824,0.11765,1,0.08824,0,0.19118,0.10294,0
10360,0,0.14286,0,0.08571,0.25714,1,0.17143,0.2,0.25714,0,0
18316,0,0,0,0,0.13115,1,0,0.42623,0.13115,0,0
10648,0,0.1,0,0.25,0.45,1,0.25,0.2,0.45,0.05,0
27625,0,0,0,0.02222,0.15556,1,0,0.11111,0.13333,0,0
11448,0,0.02857,0,0.14286,0.14286,1,0.08571,0.17143,0.17143,0.02857,0
11443,0,0.02778,0,0.05556,0.19444,1,0.11111,0.16667,0.19444,0.02778,0
10629,0,0.13235,0,0.05882,0.22059,1,0.13235,0.20588,0.20588,0.01471,0
27647,0.03704,0,0.03704,0,0.2963,1,0,0.33333,0.22222,0,0
1604,0,0.01667,0.08333,0,0.05,1,0,0,0,0,0.31667
4071,0,0,0,0,0.08696,1,0,0.15217,0.16304,0,0
5493,0,0,0,0,0.16867,1,0,0.16867,0.28916,0.01205,0
10631,0,0.10294,0,0.16176,0.23529,1,0.08824,0.25,0.16176,0.01471,0
4149,0,0,0,0,0.26923,1,0,0.26923,0.30769,0,0
23806,0,0.02439,0.0122,0.19512,0.18293,1,0.13415,0,0.36585,0.21951,0
4014,0,0,0,0,0.2,1,0,0.21818,0.29091,0,0
5138,0,0,0,0,0.23256,1,0,0.32558,0.37209,0,0
4515,0,0,0,0,0.41935,1,0,0.32258,0.3871,0,0
559,0.03704,0.24074,0,0.09259,0,1,0,0,0.09259,0,0
3915,0,0,0,0,0.26667,1,0,0.36667,0.31667,0.01667,0
1615,0,0.06667,0.11111,0,0.04444,1,0,0,0,0,0.31111
