ID,azure,aqua,orange,beige,green,antiquewhite,bisque,blue,pink,blanchedalmond,black
6698,0,0,0,0,10,64,0,14,14,0,0
18814,0,0,0,0,6,56,0,14,4,0,0
22870,0,0,1,0,5,52,0,13,3,0,0
18826,0,0,0,0,13,94,0,32,9,0,0
18804,0,0,0,0,7,35,0,15,0,0,0
18866,0,0,0,0,5,50,0,12,2,0,0
11844,0,5,1,3,6,53,3,6,7,1,0
5278,0,0,0,0,18,68,0,12,11,0,0
11785,0,4,1,2,5,44,4,9,8,0,0
18957,0,0,0,0,7,55,0,23,4,0,0
2931,0,0,0,0,4,27,0,4,6,1,0
18908,0,0,0,0,4,66,0,11,0,0,0
29604,0,1,0,3,6,34,0,10,4,0,0
18824,0,0,0,0,8,46,0,16,0,0,0
18835,0,0,0,0,5,54,0,11,0,0,0
18324,0,0,0,0,6,101,0,22,0,0,0
29613,0,2,0,3,6,63,0,14,13,0,0
18836,0,0,0,0,6,88,0,23,0,0,0
3870,0,0,0,0,9,49,0,8,7,0,0
29647,0,1,2,3,8,61,0,9,7,0,0
31607,1,1,0,1,4,32,0,7,5,0,0
19639,0,0,0,0,11,46,0,23,1,0,0
18294,0,0,0,0,4,62,0,18,0,0,0
31175,0,1,0,2,4,60,0,9,6,0,0
4017,0,0,0,0,12,37,0,16,17,0,0
4853,0,0,0,0,10,61,0,16,14,0,0
18425,0,0,0,0,5,48,0,28,1,0,0
10930,0,1,1,2,5,23,2,2,4,0,0
4538,0,0,0,0,3,31,0,4,7,0,0
3914,0,0,0,0,8,69,0,10,7,0,0
4503,0,0,0,0,17,55,0,14,18,0,0
18505,0,0,0,0,12,77,0,15,4,0,0
13694,0,6,4,3,11,50,8,7,7,2,0
18320,0,0,0,0,6,70,0,28,0,0,0
4182,0,0,0,0,9,20,0,14,12,0,0
4739,0,0,0,0,20,51,0,15,14,0,0
27263,0,1,1,2,6,59,0,10,12,2,0
18457,0,0,0,0,5,87,0,20,2,0,0
10836,0,2,0,4,8,42,3,7,9,0,0
27103,0,1,0,2,7,51,0,7,9,0,0
15711,0,2,0,2,6,27,5,6,7,1,0
11108,0,6,1,3,10,48,9,7,9,0,0
556,1,31,0,8,0,76,0,0,17,0,0
31595,2,1,0,0,6,40,0,9,10,0,0
4179,0,0,0,0,8,40,0,10,8,0,0
11198,0,1,0,4,8,38,3,6,11,0,0
7563,0,0,0,0,8,62,0,6,8,0,0
10911,0,6,1,4,9,39,4,10,9,1,0
4263,0,0,0,0,14,68,0,19,14,0,0
18350,0,0,0,0,8,52,0,18,0,0,0
18198,0,0,0,0,4,36,0,16,0,0,0
12925,0,4,1,2,6,38,7,6,9,1,0
4187,0,0,0,0,10,47,0,14,10,0,0
4808,0,0,0,0,9,36,0,13,16,0,0
18787,0,0,0,0,9,69,0,18,2,0,0
27461,0,0,3,4,7,47,0,9,5,0,0
4102,0,0,0,0,9,49,0,11,7,0,0
15755,0,3,2,3,10,16,14,3,12,0,0
3940,0,0,0,0,8,30,0,12,8,0,0
27073,0,1,0,2,7,42,0,16,10,0,0
28482,0,0,0,0,2,153,0,2,13,0,0
25750,0,3,0,16,14,101,11,0,16,12,0
4430,0,0,0,0,27,76,0,25,28,0,0
18772,0,0,0,0,5,96,0,16,0,0,0
4284,0,0,0,0,12,57,0,16,17,0,0
4619,0,0,0,0,14,69,0,18,15,0,0
31606,1,1,0,1,3,45,0,8,7,1,0
18342,0,0,0,0,7,71,0,30,11,0,0
1536,0,4,4,0,2,32,0,0,0,0,4
27876,0,1,2,2,6,38,0,9,9,1,0
5154,0,0,0,0,5,9,0,4,4,0,0
23844,0,3,2,10,18,41,5,0,22,8,0
10463,0,6,0,4,8,26,3,6,5,0,0
5557,0,0,0,0,8,27,0,8,6,0,0
18389,0,0,0,0,9,58,0,20,3,0,0
4757,0,0,0,0,11,54,0,12,15,0,0
27374,0,0,0,0,6,142,0,7,8,0,0
4796,0,0,0,0,10,32,0,13,12,0,0
25693,0,3,0,6,8,68,6,0,13,7,0
10360,0,5,0,3,9,35,6,7,9,0,0
18316,0,0,0,0,8,61,0,26,8,0,0
10648,0,2,0,5,9,20,5,4,9,1,0
27625,0,0,0,1,7,45,0,5,6,0,0
11448,0,1,0,5,5,35,3,6,6,1,0
11443,0,1,0,2,7,36,4,6,7,1,0
10629,0,9,0,4,15,68,9,14,14,1,0
27647,1,0,1,0,8,27,0,9,6,0,0
1604,0,1,5,0,3,60,0,0,0,0,19
4071,0,0,0,0,8,92,0,14,15,0,0
5493,0,0,0,0,14,83,0,14,24,1,0
10631,0,7,0,11,16,68,6,17,11,1,0
4149,0,0,0,0,14,52,0,14,16,0,0
23806,0,2,1,16,15,82,11,0,30,18,0
4014,0,0,0,0,11,55,0,12,16,0,0
5138,0,0,0,0,10,43,0,14,16,0,0
4515,0,0,0,0,13,31,0,10,12,0,0
559,2,13,0,5,0,54,0,0,5,0,0
3915,0,0,0,0,16,60,0,22,19,1,0
1615,0,3,5,0,2,45,0,0,0,0,14
5572,0,0,0,0,7,51,0,12,14,1,0
4250,0,0,0,0,9,47,0,9,11,0,0
3939,0,0,0,0,13,67,0,18,11,0,0
15170,0,3,0,2,6,24,9,5,7,2,0
17147,12,8,0,0,0,54,0,0,2,0,0
4047,0,0,0,0,12,49,0,15,17,0,0
10581,0,5,0,3,7,58,6,1,6,0,0
10374,0,7,6,10,12,54,11,8,16,1,0
10399,0,5,1,4,4,23,5,4,5,2,0
27679,0,2,0,0,3,26,0,6,4,0,0
4528,0,0,0,0,22,99,0,18,19,0,0
25759,0,2,0,18,14,77,0,0,19,18,0
18549,0,0,0,0,6,50,0,15,0,0,0
4215,0,0,0,0,11,19,0,15,12,0,0
19512,0,0,0,0,11,110,0,1,0,0,0
10782,0,3,0,6,11,25,5,10,11,0,0
578,5,17,2,3,0,58,0,0,8,0,0
27628,0,2,0,0,3,17,0,3,7,0,0
27669,0,0,0,2,4,31,0,7,3,0,0
19251,0,0,0,0,11,147,0,0,0,0,0
4380,0,0,0,0,10,39,0,13,13,0,0
24077,0,0,0,16,11,68,10,0,23,10,0
27660,0,0,0,2,5,56,0,8,8,0,0
29669,0,6,0,0,2,68,0,4,0,0,0
27761,0,1,1,5,7,62,0,8,9,0,0
15156,0,2,0,2,8,27,8,7,8,3,0
3968,0,0,0,0,19,36,0,18,18,0,0
