ID,dimgrey,chartreuse,darkcyan,aquamarine,crimson,burlywood,darkolivegreen,brown,darkgrey,darkseagreen,darkgoldenrod,beige,darkturquoise,cyan,coral,black,dimgray,darkgray,darkred,chocolate,bisque,darkkhaki,cornflowerblue,azure,darkslateblue,darkorange,blanchedalmond,blue,darkgreen,darkviolet,darkorchid,deeppink,aliceblue,antiquewhite,aqua,deepskyblue,blueviolet,cornsilk,darkmagenta,darkslategrey,darksalmon,darkslategray,cadetblue,darkblue
408608,0,0.0194,0,0.7931,0,0.04095,0,0.06034,0.00216,0,0,0.77586,0,0.00431,0.00431,0.27802,0,0,0,0.0194,0.4806,0.00431,0.01724,1,0,0,0.20259,0.13147,0.00216,0,0,0,0,0.08621,0.39224,0,0.07543,0.00862,0,0,0,0,0.03664,0.00216
42003,0,0.04233,0,0.95238,0.00529,0.08466,0.00529,0.19048,0,0,0.00529,1,0,0.01587,0.03175,0.50794,0,0,0,0.04762,0.80423,0.00529,0.02646,0.71958,0,0.00529,0.38624,0.26455,0,0,0.00529,0,0,0.07937,0.73016,0,0.29101,0.01587,0,0,0,0,0.06878,0.00529
109805,0,0.09268,0.00976,0.23902,0.0439,0.20488,0.01463,0.25854,0.00488,0,0.00488,0.63902,0,0.01463,0.07317,0.90732,0,0,0,0.0439,1,0,0.05366,0.34634,0.00488,0,0.72195,0.53659,0.00488,0.00488,0,0,0,0.08293,0.57561,0,0.42439,0.01463,0,0,0,0,0.17561,0.02439
180622,0,0.00667,0,0.81333,0,0.00667,0,0.02667,0,0,0,0.82667,0,0,0,0.30667,0,0,0,0,0.50667,0,0,1,0,0,0.2,0.08667,0,0,0,0,0,0.00667,0.38,0,0.06,0,0,0,0,0,0.02,0
336535,0,0.06098,0,0.46341,0.0061,0.12805,0,0.20122,0,0,0,0.58537,0,0,0.0061,0.53659,0,0.0122,0,0.05488,0.61585,0.0061,0.01829,0.48171,0,0,0.48171,0.27439,0,0,0,0,0,0.12805,1,0,0.2561,0.0122,0,0,0,0,0.06707,0.0061
356964,0,0.02055,0,0.54452,0,0.02397,0,0.03082,0,0,0,0.44863,0,0.00342,0,0.19521,0,0.00342,0,0.01027,0.38014,0,0.00685,0.40068,0,0,0.20548,0.08904,0,0,0,0,0,0.24315,1,0,0.05137,0,0,0,0,0,0.0137,0
152081,0,0,0,0.01533,0,0,0,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0,0,0.00271,0,0,0,0,0,0,0,0,0,1,0.02795,0,0,0,0,0,0,0,0,0
371090,0,0,0,0.26706,0,0.00297,0,0.02374,0,0,0,0.43027,0,0,0.0089,0.1543,0,0,0,0.00593,0.29377,0,0.00297,0.273,0,0,0.08309,0.06825,0,0,0,0,0,0.04451,1,0,0.05935,0.00297,0,0,0,0,0.00593,0
326609,0,0.03766,0.00418,0.54393,0.00418,0.08787,0,0.07531,0,0,0,0.8159,0,0.00418,0.01255,0.40167,0,0,0,0.00837,0.53975,0,0,1,0,0,0.22176,0.18828,0,0,0,0,0,0.01674,0.04184,0,0.14226,0.00418,0,0,0,0,0.02929,0.00418
286955,0,0,0,0.02143,0,0,0,0,0,0,0,0.00102,0,0,0,0,0,0,0,0,0.00204,0,0,0.01224,0,0,0,0,0,0,0,0,0,1,0.0602,0,0,0,0,0,0,0,0,0
126341,0,0,0,0.02292,0,0,0,0,0,0,0,0.00208,0,0,0,0.00313,0,0,0,0,0.00208,0,0,0.0125,0,0,0,0,0,0,0,0,0,1,0.03854,0,0,0,0,0,0,0,0,0
309096,0,0,0,0.0412,0,0,0,0,0,0,0,0.00334,0,0,0,0.00445,0,0,0,0,0.00557,0,0,0.02227,0,0,0,0.00445,0,0,0,0,0,1,0.12027,0,0.00111,0,0,0,0,0,0,0
12564,0,0.07563,0,0.7395,0.0084,0.07563,0,0.09244,0.0084,0,0,1,0,0,0.0084,0.7563,0,0.0084,0,0.03361,0.82353,0,0.01681,0.84874,0,0,0.42857,0.26891,0,0,0,0,0,0.04202,0.95798,0,0.2437,0,0,0,0,0,0.09244,0.0084
