ID,dimgrey,chartreuse,darkcyan,aquamarine,crimson,burlywood,darkolivegreen,brown,darkgrey,darkseagreen,darkgoldenrod,beige,darkturquoise,cyan,coral,black,dimgray,darkgray,darkred,chocolate,bisque,darkkhaki,cornflowerblue,azure,darkslateblue,darkorange,blanchedalmond,blue,darkgreen,darkviolet,darkorchid,deeppink,aliceblue,antiquewhite,aqua,deepskyblue,blueviolet,cornsilk,darkmagenta,darkslategrey,darksalmon,darkslategray,cadetblue,darkblue
146687,0,0.02521,0,0.91877,0,0.05042,0,0.07283,0.0028,0,0,0.84034,0,0.0028,0.0056,0.35014,0,0,0,0.02801,0.56863,0.0056,0.02241,1,0,0,0.27731,0.17647,0.0028,0,0,0,0,0.11204,0.44818,0,0.10084,0.0084,0,0,0,0,0.04762,0.0028
363948,0,0.03241,0,0.99074,0.00463,0.0787,0.00463,0.16667,0,0,0.00463,1,0,0.01852,0.02778,0.54167,0,0,0,0.04167,0.81019,0.00463,0.02315,0.69907,0,0.00463,0.37037,0.25926,0,0,0.00463,0,0,0.06944,0.82407,0,0.27315,0.01852,0,0,0,0,0.06019,0.00463
49082,0,0.1,0.01,0.265,0.045,0.215,0.015,0.265,0.005,0,0.005,0.605,0,0.015,0.075,0.9,0,0,0,0.05,1,0,0.055,0.37,0.005,0,0.74,0.565,0.005,0.005,0,0,0,0.09,0.845,0,0.425,0.015,0,0,0,0,0.185,0.025
53363,0,0.00595,0,0.62798,0,0.02083,0,0.02976,0,0,0,0.74405,0,0,0,0.25893,0,0,0,0,0.44345,0,0,1,0,0,0.15179,0.08631,0,0,0,0,0,0.00595,0.32143,0,0.04762,0.00298,0,0,0,0,0.01786,0
417591,0,0.05114,0,0.41477,0.00568,0.10795,0,0.17614,0,0,0,0.52273,0,0,0.00568,0.46591,0,0.01136,0,0.03977,0.50568,0.00568,0.01705,0.46591,0,0,0.4375,0.25,0,0,0,0,0,0.14205,1,0,0.24432,0.01136,0,0,0,0,0.05682,0.00568
16194,0,0.02133,0,0.50948,0,0.02844,0,0.03318,0,0,0,0.43128,0,0.00237,0.00237,0.21801,0,0.00237,0,0.01185,0.35545,0,0.00474,0.41469,0,0,0.19194,0.09716,0,0,0,0,0,0.31043,1,0,0.05687,0,0,0,0,0,0.01659,0
22036,0,0,0,0.02203,0,0,0,0,0,0,0,0.00254,0,0,0,0.00169,0,0,0,0,0,0,0,0.00424,0,0,0,0,0,0,0,0,0,1,0.02881,0,0,0,0,0,0,0,0,0
7477,0,0.00265,0,0.27513,0,0.01058,0,0.0291,0,0,0,0.4127,0,0,0.00794,0.16931,0,0,0,0.01323,0.30159,0,0.00265,0.28571,0,0,0.09524,0.08201,0,0,0,0,0,0.03968,1,0,0.05026,0.00265,0,0,0,0,0.00794,0
322951,0,0.03571,0.00397,0.53571,0.00397,0.08333,0,0.0754,0,0,0,0.84524,0,0.00794,0.0119,0.40476,0,0,0,0.00794,0.55159,0,0,1,0,0,0.23016,0.19048,0,0,0,0,0,0.01587,0.04762,0,0.13492,0.00397,0,0,0,0,0.02778,0.00397
55779,0,0.00105,0,0.02004,0,0,0,0,0,0,0,0.00633,0,0,0,0,0,0,0,0,0.00316,0,0,0.01477,0,0,0,0,0,0,0,0,0,1,0.06224,0,0,0,0,0,0,0,0,0
239100,0,0,0,0.01648,0,0,0,0,0,0,0,0.00137,0,0,0,0.00137,0,0,0,0,0.00137,0,0,0.00824,0,0,0,0,0,0,0,0,0,1,0.03434,0,0,0,0,0,0,0,0,0
312054,0,0,0,0.03696,0,0,0,0,0,0,0,0.003,0,0,0,0.004,0,0,0,0,0.005,0,0,0.01898,0,0,0,0.004,0,0,0,0,0,1,0.11189,0,0.001,0,0,0,0,0,0,0
23819,0,0.05714,0,0.64,0.00571,0.05143,0,0.06857,0.00571,0,0,1,0,0,0.00571,0.72,0,0.00571,0,0.02286,0.73143,0,0.01714,0.73714,0,0,0.38857,0.22857,0,0,0,0,0,0.02857,0.90857,0,0.18286,0,0,0,0,0,0.08,0.00571
179092,0,0,0,0.64082,0.00408,0.02041,0,0.02857,0,0,0,1,0,0,0.00408,0.23265,0,0,0,0,0.53469,0,0.00408,0.96735,0,0,0.1551,0.04898,0,0,0,0,0,0.02857,0.26531,0,0.05714,0,0,0,0,0,0.01224,0
127466,0,0,0,0.00592,0,0,0,0,0,0,0,0.00074,0,0,0,0,0,0,0,0,0.00148,0,0,0.00592,0,0,0.00074,0,0,0,0,0,0,1,0.01999,0,0,0,0,0,0,0,0,0
381592,0,0.07558,0.01163,0.47674,0.0407,0.12209,0.00581,0.18605,0,0,0.00581,0.8314,0,0.01163,0.06977,0.78488,0,0.00581,0.00581,0.03488,1,0.00581,0.0407,0.7093,0,0,0.56977,0.38953,0.02326,0,0.01163,0,0,0.08721,0.43023,0.00581,0.27326,0.0407,0,0.00581,0,0,0.13372,0.02907
305340,0,0,0,0.00202,0,0,0,0,0,0,0,0,0,0,0,0.00101,0,0,0,0,0,0,0,0.00404,0,0,0,0,0,0,0,0,0,1,0.02022,0,0,0,0,0,0,0,0,0
235465,0,0.00405,0,1,0.00405,0.03644,0,0.02429,0,0,0,0.63968,0,0,0.01215,0.31984,0,0,0,0.0081,0.70445,0,0.00405,0.30364,0,0,0.18623,0.10121,0,0,0,0,0,0.05668,0.92308,0,0.05263,0,0,0,0,0,0.01619,0
324618,0,0.01031,0,0.38488,0,0.02405,0,0.0378,0,0,0,1,0,0.00344,0.00344,0.43643,0,0.00344,0,0.00687,0.65292,0,0,0.59794,0,0,0.25086,0.14089,0,0,0,0,0,0,0.06529,0,0.09278,0,0,0,0,0,0.01718,0
114391,0,0.00413,0,0.30579,0,0.0124,0,0.01446,0,0,0,0.10124,0,0,0,0.06612,0,0,0,0,0.09504,0,0,0.17975,0,0,0.04545,0.04339,0,0,0,0,0,1,0.53512,0,0.02686,0,0,0,0,0,0,0
287263,0,0,0,0.0287,0,0,0,0,0,0,0,0.00538,0,0,0,0.00628,0,0,0,0,0.00538,0,0,0.02242,0,0,0.0009,0.00179,0,0,0,0,0,1,0.08969,0,0,0,0,0,0,0,0,0
6105,0,0.0452,0.00565,1,0.00565,0.11864,0,0.10734,0,0,0,0.80791,0,0,0.0226,0.48023,0,0,0,0.01695,0.64972,0,0.0113,0.89266,0,0.00565,0.39548,0.18644,0,0,0,0,0,0.03955,0.92655,0,0.15254,0.02825,0,0,0,0,0.0452,0.00565
282186,0,0.00089,0,0.03022,0,0,0,0,0,0,0,0.00889,0,0,0,0.00267,0,0,0,0,0.00711,0,0,0.01244,0,0,0.00356,0,0,0,0,0,0,1,0.08267,0,0,0,0,0,0,0,0,0
42400,0,0,0,1,0,0.00727,0,0.02545,0,0,0,0.57455,0,0,0.00364,0.21455,0,0,0,0.00364,0.29455,0,0.00727,0.86545,0,0.00364,0.13455,0.08364,0,0,0.00364,0,0,0.32,0.52,0,0.02545,0.00364,0,0,0,0,0.01091,0
