ID,dimgrey,chartreuse,darkcyan,aquamarine,crimson,burlywood,darkolivegreen,brown,darkgrey,darkseagreen,darkgoldenrod,beige,darkturquoise,cyan,coral,black,dimgray,darkgray,darkred,chocolate,bisque,darkkhaki,cornflowerblue,azure,darkslateblue,darkorange,blanchedalmond,blue,darkgreen,darkviolet,darkorchid,deeppink,aliceblue,antiquewhite,aqua,deepskyblue,blueviolet,cornsilk,darkmagenta,darkslategrey,darksalmon,darkslategray,cadetblue,darkblue
81437,0,10,0,512,0,24,0,33,1,0,0,476,0,2,2,166,0,0,0,10,278,2,8,656,0,0,125,76,1,0,0,0,0,43,254,0,46,4,0,0,0,0,22,1
341248,0,20,2,129,9,52,3,65,1,0,1,318,0,5,16,288,0,1,0,11,356,0,12,172,1,0,197,143,1,1,0,0,0,17,200,0,111,4,0,0,0,0,40,5
108526,0,0,0,54,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,8,0,0,31,0,0,0,5,0,0,0,0,0,1804,163,0,1,0,0,0,0,0,0,0
66800,0,0,0,51,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,4,0,1,28,0,0,1,0,0,0,0,0,0,1930,218,0,1,0,0,0,0,0,0,0
290859,0,13,0,271,1,19,1,43,0,0,1,269,0,3,8,148,0,0,0,11,205,1,6,206,0,1,104,67,0,0,1,0,0,19,228,0,62,4,0,0,0,0,15,2
64798,0,10,0,179,1,22,0,42,0,0,0,256,0,0,4,140,0,2,0,11,213,1,4,192,0,0,118,72,0,0,0,0,0,40,531,0,62,3,0,0,0,0,13,1
271098,0,11,1,151,1,22,0,25,0,0,0,244,0,1,3,132,0,0,0,2,175,0,0,290,0,0,72,59,0,0,0,0,0,5,16,0,40,1,0,0,0,0,7,1
271023,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1489,27,0,0,0,0,0,0,0,0,0
105631,0,1,0,108,0,2,0,3,0,0,0,34,0,0,0,15,0,0,0,0,29,0,0,57,0,0,12,4,0,0,0,0,0,2066,355,0,3,0,0,0,0,0,1,0
247803,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,11,0,0,2,0,0,0,0,0,0,2166,63,0,1,0,0,0,0,0,0,0
163083,0,1,0,49,0,1,0,1,0,0,0,22,0,0,0,11,0,0,0,0,13,0,0,40,0,0,4,3,0,0,0,0,0,1506,201,0,1,0,0,0,0,0,0,0
310590,0,0,0,9,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,1479,14,0,0,0,0,0,0,0,0,0
222722,0,0,0,129,0,1,0,2,0,0,0,45,0,0,0,19,0,0,0,0,19,0,0,115,0,0,6,2,0,0,0,0,0,1662,181,0,3,0,0,0,0,0,0,0
180722,0,0,0,31,0,1,0,0,0,0,0,24,0,0,0,5,0,0,0,0,8,0,0,42,0,0,2,0,0,0,0,0,0,1518,44,0,1,0,0,0,0,0,0,0
7321,0,2,0,105,0,2,0,15,0,0,0,65,0,1,1,68,0,0,0,2,78,0,2,83,0,0,39,38,0,0,0,0,0,19,478,0,24,1,0,0,0,0,4,0
313360,0,0,0,3,0,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,1549,27,0,1,0,0,0,0,0,0,0
206951,0,0,0,172,1,4,0,6,0,0,0,271,0,0,1,62,0,0,0,0,152,0,1,247,0,0,42,14,0,0,0,0,0,7,84,0,17,0,0,0,0,0,3,0
291472,0,0,0,40,0,0,0,1,0,0,0,21,0,0,0,2,0,0,0,0,8,0,0,25,0,0,6,0,0,0,0,0,0,1858,21,0,1,0,0,0,0,0,0,0
