ID,dimgrey,chartreuse,darkcyan,aquamarine,crimson,burlywood,darkolivegreen,brown,darkgrey,darkseagreen,darkgoldenrod,beige,darkturquoise,cyan,coral,black,dimgray,darkgray,darkred,chocolate,bisque,darkkhaki,cornflowerblue,azure,darkslateblue,darkorange,blanchedalmond,blue,darkgreen,darkviolet,darkorchid,deeppink,aliceblue,antiquewhite,aqua,deepskyblue,blueviolet,cornsilk,darkmagenta,darkslategrey,darksalmon,darkslategray,cadetblue,darkblue
81437,0,10,0,545,0,25,0,35,1,0,0,507,0,0,3,190,0,0,0,10,304,2,9,706,0,0,134,77,1,0,0,0,0,43,259,0,54,4,0,0,0,0,21,1
102619,0,21,2,158,9,50,3,68,1,0,1,434,0,5,16,326,0,1,0,11,432,0,12,252,1,0,223,156,1,1,0,0,0,9,157,0,121,4,0,0,0,0,42,5
386848,0,0,0,79,0,0,0,0,0,0,0,18,0,0,0,7,0,0,0,0,9,0,0,55,0,0,0,5,0,0,0,0,0,2367,204,0,1,0,0,0,0,0,0,0
298031,0,0,0,69,0,1,0,2,0,0,0,16,0,0,0,8,0,0,0,0,11,0,1,41,0,0,3,2,0,0,0,0,0,2016,271,0,2,0,0,0,0,0,0,0
410672,0,10,0,249,1,17,1,40,0,0,1,247,0,3,8,134,0,0,0,10,198,1,5,172,0,1,92,65,0,0,1,0,0,18,233,0,60,5,0,0,0,0,15,1
221004,0,9,0,194,0,24,0,33,0,0,0,300,0,0,3,156,0,2,0,14,223,1,4,216,0,0,114,71,0,0,0,0,0,58,578,0,59,2,0,0,0,0,12,1
90515,0,12,1,184,1,22,0,25,0,0,0,280,0,3,3,147,0,0,0,2,193,0,0,327,0,0,81,62,0,0,0,0,0,7,32,0,46,2,0,0,0,0,8,1
260183,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1902,47,0,1,0,0,0,0,0,0,0
383270,0,1,0,118,0,2,0,4,0,0,0,41,0,0,0,18,0,0,0,0,31,0,0,69,0,0,13,4,0,0,0,0,0,2176,350,0,5,0,0,0,0,0,1,0
195459,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,10,0,0,2,0,0,0,0,0,0,1948,44,0,0,0,0,0,0,0,0,0
263339,0,1,0,65,0,0,0,0,0,0,0,21,0,1,0,8,0,0,0,0,11,0,0,42,0,0,4,2,0,0,0,0,0,1718,235,0,2,0,0,0,0,0,0,0
354834,0,0,0,16,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,4,0,0,19,0,0,0,0,0,0,0,0,0,2214,18,0,0,0,0,0,0,0,0,0
102401,0,0,0,107,0,1,0,2,0,0,0,37,0,0,0,18,0,0,0,0,18,0,0,95,0,0,5,1,0,0,0,0,0,1151,158,0,2,0,0,0,0,0,0,0
314540,0,0,0,26,0,1,0,0,0,0,0,24,0,0,0,6,0,0,0,0,7,0,0,39,0,0,2,0,0,0,0,0,0,1706,48,0,1,0,0,0,0,0,0,0
40048,0,4,0,169,1,8,0,34,0,0,0,112,0,1,3,120,0,0,0,2,151,0,3,129,0,0,85,65,0,0,0,0,0,45,671,0,43,3,0,0,0,0,8,0
38581,0,0,0,5,0,1,0,0,0,0,0,9,0,0,0,2,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,1469,23,0,1,0,0,0,0,0,0,0
194940,0,0,0,198,1,5,0,10,0,0,0,308,0,0,1,79,0,0,0,0,182,0,1,277,0,0,47,19,0,0,0,0,0,6,106,0,16,0,0,0,0,0,4,0
415,0,1,0,53,0,0,0,1,0,0,0,29,0,0,0,5,0,0,0,0,10,0,0,27,0,0,8,2,0,0,0,0,0,1657,29,0,3,0,0,0,0,0,0,0
74070,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,1729,19,0,0,0,0,0,0,0,0,0
181371,0,0,0,11,0,0,0,1,0,0,0,21,0,0,0,3,0,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,1975,24,0,0,0,0,0,0,0,0,0
350345,0,1,0,20,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,5,0,0,14,0,0,1,0,0,0,0,0,0,2230,9,0,0,0,0,0,0,0,0,0
236678,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2206,31,0,0,0,0,0,0,0,0,0
187016,0,10,0,223,0,15,0,14,0,0,0,186,0,1,0,96,0,1,0,6,161,0,2,181,0,0,91,48,0,0,0,0,0,135,610,0,23,0,0,0,0,0,7,0
93973,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,4,0,0,9,0,0,2,1,0,0,0,0,0,1517,36,0,0,0,0,0,0,0,0,0
12745,0,10,0,215,0,17,1,28,0,0,2,226,0,0,4,140,0,0,0,6,179,0,2,207,0,0,105,63,0,0,0,0,0,13,473,0,48,3,0,0,0,0,5,0
246114,0,8,0,212,2,12,0,25,0,0,0,336,0,0,4,187,0,0,0,8,281,0,2,317,0,0,125,63,0,0,0,0,0,4,45,0,40,3,0,0,0,0,11,0
16155,0,8,1,129,0,18,0,17,0,0,0,282,0,0,9,132,0,0,0,2,229,0,1,228,0,0,86,51,0,0,0,0,0,4,130,0,31,0,0,0,0,0,12,0
2535,0,0,0,25,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,2,0,0,18,0,0,0,2,0,0,0,0,0,1936,57,0,1,0,0,0,0,0,0,0
234074,0,10,0,197,1,11,0,14,1,0,0,240,0,0,3,156,0,1,0,5,191,0,2,181,0,0,83,53,0,0,0,0,0,7,222,0,41,0,0,0,0,0,16,1
40993,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1686,15,0,0,0,0,0,0,0,0,0
398043,0,0,0,15,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,16,0,0,19,0,0,2,1,0,0,0,0,0,2241,21,0,0,0,0,0,0,0,0,0
181814,0,0,0,22,0,1,0,1,0,0,0,6,0,0,0,4,0,0,0,0,5,0,0,13,0,0,1,1,0,0,0,0,0,3155,78,0,1,0,0,0,0,0,0,0
306126,0,6,0,356,3,16,0,23,1,0,0,264,0,0,4,180,0,0,0,1,205,0,3,314,0,1,91,77,0,0,0,0,0,51,630,0,48,0,0,0,0,0,8,0
48857,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,1626,24,0,0,0,0,0,0,0,0,0
81496,0,0,0,17,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,8,0,0,11,0,0,2,1,0,0,0,0,0,2099,66,0,2,0,0,0,0,0,0,0
