ID,dimgrey,chartreuse,darkcyan,aquamarine,crimson,burlywood,darkolivegreen,brown,darkgrey,darkseagreen,darkgoldenrod,beige,darkturquoise,cyan,coral,black,dimgray,darkgray,darkred,chocolate,bisque,darkkhaki,cornflowerblue,azure,darkslateblue,darkorange,blanchedalmond,blue,darkgreen,darkviolet,darkorchid,deeppink,aliceblue,antiquewhite,aqua,deepskyblue,blueviolet,cornsilk,darkmagenta,darkslategrey,darksalmon,darkslategray,cadetblue,darkblue
408608,0,0.02419,0,0.92204,0,0.05376,0,0.07258,0.00269,0,0,0.88978,0,0,0.00538,0.36828,0,0,0,0.02419,0.51344,0.00538,0.01613,1,0,0,0.21774,0.16129,0.00269,0,0,0,0,0.10753,0.46237,0,0.09946,0.01075,0,0,0,0,0.0457,0.00269
309761,0,0.04444,0,0.98667,0.00444,0.07111,0.00444,0.17778,0,0,0.00444,1,0,0.01333,0.03556,0.51556,0,0,0,0.04444,0.77778,0.00444,0.02222,0.72,0,0.00444,0.38667,0.25333,0,0,0.00444,0,0,0.07556,0.92889,0,0.26222,0.01778,0,0,0,0,0.06222,0.00444
136540,0,0.06734,0.00673,0.27946,0.0303,0.15825,0.0101,0.19529,0.00337,0,0.00337,0.67003,0,0.0101,0.05051,0.79798,0,0,0,0.03367,1,0,0.03704,0.38721,0.00337,0,0.58923,0.42761,0.00337,0.00337,0,0,0,0.05051,0.55219,0,0.3266,0.0101,0,0,0,0,0.12458,0.01684
90515,0,0.00455,0.00455,0.45455,0.00455,0.03636,0,0.05909,0,0,0,0.78182,0,0.00909,0.00455,0.34545,0,0,0,0,0.49091,0,0,1,0,0,0.19091,0.16818,0,0,0,0,0,0.01818,0.05455,0,0.1,0,0,0,0,0,0,0
95250,0,0,0,0.02349,0,0,0,0,0,0,0,0.00444,0,0,0,0.00063,0,0,0,0,0.00063,0,0,0.01397,0,0,0,0,0,0,0,0,0,1,0.06159,0,0,0,0,0,0,0,0,0
300400,0,0.05025,0,0.41206,0.00503,0.11055,0,0.16583,0,0,0,0.51759,0,0,0.00503,0.44221,0,0.01005,0,0.04523,0.52764,0.00503,0.01508,0.46231,0,0,0.43719,0.24121,0,0,0,0,0,0.10553,1,0,0.24623,0.01005,0,0,0,0,0.05025,0.00503
287262,0,0.00524,0,0.65969,0,0.02094,0,0.03403,0,0,0,0.70419,0,0,0.00262,0.35864,0,0,0,0.00262,0.5288,0,0.00524,1,0,0,0.23298,0.10209,0,0,0,0,0,0.00524,0.29581,0,0.06806,0,0,0,0,0,0.01832,0
298031,0,0,0,0.02708,0,0.00064,0,0.00129,0,0,0,0.00903,0,0,0,0.00516,0,0,0,0,0.0058,0,0.00064,0.01741,0,0,0.00193,0.00129,0,0,0,0,0,1,0.14894,0,0.00129,0,0,0,0,0,0,0
192681,0,0,0,0.06129,0,0,0,0,0,0,0,0.0121,0,0,0,0.00806,0,0,0,0,0.00968,0,0,0.04677,0,0,0.00161,0.00403,0,0,0,0,0,1,0.11371,0,0.00161,0,0,0,0,0,0,0
96166,0,0,0,0.00725,0,0,0,0,0,0,0,0.00161,0,0,0,0,0,0,0,0,0.00161,0,0.00081,0.00725,0,0,0,0,0,0,0,0,0,1,0.02174,0,0,0,0,0,0,0,0,0
